date,Pond,DIC,DOC,TIC,TOC
2022-01-30,O-N,60.39,4.919,62.08,4.866
2022-01-30,O-S,52.75,5.657,53.65,5.353
2022-01-31,OPP-E,25.09,7.016,34.86,8.691
2022-01-31,OPP-W,27.12,5.46,36.05,5.569
2022-01-31,UM-ARB,75.63,3.366,82.82,3.723
2022-02-09,ALC,61.61,8.842,69.49,9.186
2022-02-09,CAP,19,7.084,26.9,9.313
2022-02-09,DCSW1,57.17,4.696,58.51,4.21
2022-02-09,DCSW2,65.87,5.07,67.36,5.069
2022-02-09,DCSW3,23.65,5.194,24.47,5.179
2022-02-09,DOBA4,16.13,6.317,22.55,7.155
2022-02-09,DOBA5,17.11,7.037,21.95,8.423
2022-02-11,DOBA7,19.46,4.762,21.98,4.369
2022-02-10,DOBA8,30.48,3.42,32.09,3.331
2022-02-10,ELV,14.05,4.265,15.32,4.045
2022-02-09,HP-UW,79.85,1.333,81.32,1.215
2022-02-10,KP,51.84,14.26,91.72,15.97
2022-02-09,L60-UW,32.16,5.683,40.79,6.467
2022-02-11,LM-ARB,75.54,2.755,81.87,2.826
2022-02-10,MDT,20.62,3.948,25.2,4.512
2022-02-10,O-N,56.1,4.274,59.04,4.044
2022-02-10,O-S,55.85,5.517,56.44,5.461
2022-02-11,OPP-E,25.16,6.813,33.26,7.845
2022-02-11,OPP-W,30.1,5.176,38.85,6.159
2022-02-11,UM-ARB,83.17,3.926,90.79,3.475
2021-06-29,OPP-W,11.33,8.862,16.68,8.431
2021-06-29,OPP-E,14.47,7.693,18.88,8.171
2021-06-29,DOBA7,7.515,4.719,9.42,4.825
2021-06-29,HP-UW,20.26,2.269,20.59,2.248
2021-06-30,DOBA8,6.559,4.172,7.378,4.07
2021-06-30,ELV,9.672,5.113,10.82,4.65
2021-06-30,MDT,8.175,4.769,9.054,4.85
2021-06-30,UM-ARB,11.84,5.666,16.28,6.054
2021-06-30,LM-ARB,12.8,5.619,16.84,5.954
2021-07-01,DCSW2,22.44,5.347,23.13,5.203
2021-07-01,DCSW1,21.18,5.284,21.82,5.306
2021-07-01,CAP,8.226,4.522,9.976,4.632
2021-07-01,DOBA4,6.183,3.583,7.539,3.782
2021-07-01,DCSW3,15.07,5.294,15.35,5.129
2021-07-01,DOBA5,7.413,4.251,9.897,4.317
2021-07-01,O-N,34.3,4.851,36.01,4.491
2021-07-01,O-S,29.75,4.649,31.1,4.439
2021-07-02,KP,14.76,7.614,22.07,7.404
2021-07-02,L60-UW,19.23,5.294,21.18,5.311
2021-07-02,ALC,23.81,7.104,23.64,7.135
2021-07-12,DOBA7,7.926,6.053,10.31,6.084
2021-07-12,OPP-W,14.97,10.51,19.96,13.16
2021-07-12,OPP-E,16.28,8.601,21.39,9.111
2021-07-13,LM-ARB,24.31,6.444,27.59,6.264
2021-07-13,UM-ARB,22.17,5.953,28.45,6.297
2021-07-13,L60-UW,21.22,7.797,20.91,7.57
2021-07-14,O-S,25.61,5.13,26.99,5.179
2021-07-14,O-N,33.86,5.218,37.6,5.465
2021-07-14,KP,13.96,8.767,23.11,12.75
2021-07-16,CAP,9.176,5.386,11.45,5.51
2021-07-16,DOBA4,6.322,4.929,9.385,5.892
2021-07-16,DOBA5,6.956,6.474,12.5,6.948
2021-07-19,DCSW3,28.83,6.229,29.91,6.095
2021-07-19,DCSW1,22.65,6.055,23.08,5.805
2021-07-19,DCSW2,32.68,5.837,35.2,6.175
2021-07-20,MDT,8.661,6.014,10.68,6.463
2021-07-20,DOBA8,8.16,5.017,10.38,5.871
2021-07-20,ELV,8.337,5.675,9.197,5.706
2021-07-21,ALC,22.2,8.317,23.16,8.277
2021-07-21,HP-UW,46.35,2.306,47.28,2.276
2021-08-02,UM-ARB,21.67,6.5,26.18,6.48
2021-08-02,LM-ARB,23.88,6.756,29.03,7.373
2021-08-02,ALC,24.41,10.19,27.13,10.5
2021-08-03,OPP-E,17.28,7.717,24.2,10.18
2021-08-03,OPP-W,12.76,11.58,19.36,12.21
2021-08-03,DOBA7,5.917,7.081,9.279,7.811
2021-08-03,ELV,8.789,6.003,10.45,6.703
2021-08-03,KP,16.2,9.979,25.12,11.48
2021-08-03,O-N,28.53,5.666,35.31,6.502
2021-08-03,O-S,23.27,5.239,26.79,5.497
2021-08-04,DCSW1,22.47,6.628,24.39,6.702
2021-08-04,DCSW2,36.32,5.943,39.29,6.06
2021-08-04,DCSW3,32.66,6.433,34.36,6.826
2021-08-04,DOBA4,8.1,7.264,10.88,8.736
2021-08-04,DOBA5,7.629,10.08,15.46,13.84
2021-08-04,CAP,11.39,7.04,14.38,6.639
2021-08-05,L60-UW,27.75,9.057,35.13,9.114
2021-08-05,HP-UW,52.16,2.192,53.33,2.124
2021-08-05,DOBA8,7.081,6.616,9.541,6.811
2021-08-05,MDT,7.956,6.024,NA,NA
2021-06-02,OPP-E,16.68,7.322,18.62,7.505
2021-06-02,OPP-W,14.32,8.884,16.36,8.946
2021-06-02,DOBA7,9.595,6.019,11.41,6.349
2021-06-03,LM-ARB,27.04,7.239,31.65,7.366
2021-06-03,UM-ARB,28.95,7.119,30.96,7.674
2021-06-07,DOBA5,12.99,7.138,13.98,7.269
2021-06-07,DOBA4,9.844,6.333,10.96,6.72
2021-06-07,CAP,19.72,6.062,20.83,5.893
2021-06-08,ALC,20.9,9.028,21.22,9.102
2021-06-08,ELV,12.01,6.537,12.46,6.654
2021-06-09,DCSW1,17.61,8.884,17.83,8.422
2021-06-09,DCSW2,20.45,8.113,17.89,7.776
2021-06-09,DCSW3,24.72,6.427,24.99,6.2
2021-06-10,DOBA8,11.45,6.478,11.9,6.399
2021-06-10,MDT,9.295,7.081,9.552,6.974
2021-06-10,HP-UW,65.43,2.487,66.94,2.445
2021-06-11,L60-UW,28.56,9.813,24.84,9.774
2021-06-11,KP,13.68,7.783,21.18,7.677
2021-06-11,O-S,39.13,5.099,39.71,5.124
2021-06-11,O-N,44.29,5.109,45.4,5.354
2021-06-14,OPP-E,17.96,9.729,19.11,9.449
2021-06-14,OPP-W,18.94,12.4,22.34,15.34
2021-06-14,DOBA7,12.77,8.04,14.08,8.429
2021-06-15,ALC,17.63,10.57,19.38,10.78
2021-06-15,LM-ARB,36.98,8.882,40.97,10.25
2021-06-15,UM-ARB,37.89,8.933,40.76,10.06
2021-06-16,DOBA5,11.22,11.96,11.52,11.91
2021-06-16,CAP,18.69,6.937,19.23,7.027
2021-06-16,DOBA4,11.55,7.593,10.4,7.261
2021-06-17,DOBA8,11.38,6.891,12.14,7.104
2021-06-17,MDT,7.446,8.073,8.263,8.326
2021-06-17,ELV,11.67,6.91,12.66,7.139
2021-06-18,L60-UW,8.976,3.462,10.56,3.804
2021-06-18,HP-UW,17.12,3.281,16.34,3.093
2021-06-21,DCSW3,25.75,6.425,26.16,6.262
2021-06-21,DCSW2,26.98,7.042,28.65,7.095
2021-06-21,DCSW1,14.67,7.348,14.52,7.127
2021-06-22,O-N,34.29,5.521,35.66,5.862
2021-06-22,O-S,30.73,5.081,32.38,5.226
2021-06-22,KP,21.51,8.33,14.19,8.408
