pond,DATE,season,Bottom_Temp,Bottom_Cond,Bottom_DOmgL,Bottom_DO,Depth,Top_Temp,Top_Cond,Top_DOmgL,Top_DO,diffCond,diffTemp
CAP,2022-02-09,winter,2,611,1.16,8.5,1,0.9,626,2.57,18.1,15,-1.1
DCSW1,2021-06-09,summer,15.7,333.8,2.06,22,1.5,26.9,354,12.31,154.2,20.19999999999999,11.2
DCSW1,2021-06-21,summer,19.5,329.2,0.07,0.8,1.75,22.6,213,3.9,45.2,-116.19999999999999,3.1000000000000014
DCSW1,2021-07-01,summer,18.6,520,0.07,0.8,2,24.3,285.3,4.22,50.4,-234.7,5.699999999999999
DCSW1,2021-07-09,summer,20.2,510,0.02,0.2,2,23.2,370.1,1.4,16.5,-139.89999999999998,3
DCSW1,2021-07-19,summer,23.4,271.1,0.99,11.7,1.75,24.5,257.4,3.62,43.4,-13.700000000000045,1.1000000000000014
DCSW1,2021-07-29,summer,23,457.3,0.06,0.7,2,25.4,407.3,1.79,21.9,-50,2.3999999999999986
DCSW1,2021-08-04,summer,23.2,266,2.19,25.6,1.75,25.4,269.1,5.84,71.2,3.1000000000000227,2.1999999999999993
DCSW1,2022-01-13,winter,3.7,527,9.11,69.5,2,2.4,529,15.66,99.1,2,-1.3000000000000003
DCSW1,2022-01-27,winter,3.7,516,5.58,42.6,1.75,1.8,492.4,10.3,76.3,-23.600000000000023,-1.9000000000000001
DCSW1,2022-02-09,winter,3.5,616,1.29,9.8,1.75,1.9,608,2.14,15.6,-8,-1.6
DCSW2,2021-06-09,summer,14.3,775,1.15,11.5,1.5,27.3,557,16.09,201.6,-218,13
DCSW2,2021-06-21,summer,20.1,415.6,0.01,0.1,1.5,22.3,376.2,1.76,20.3,-39.400000000000034,2.1999999999999993
DCSW2,2021-07-01,summer,22.4,310,0.04,0.5,1.5,24.6,304.4,6.5,78.1,-5.600000000000023,2.200000000000003
DCSW2,2021-07-09,summer,21.4,446.6,0.2,2.3,1.75,22.8,416.7,4.82,56.2,-29.900000000000034,1.4000000000000021
DCSW2,2021-07-19,summer,22.1,458,0.13,1.5,1.5,24.6,414.2,9.51,114.3,-43.80000000000001,2.5
DCSW2,2021-07-29,summer,24.1,404.7,1.16,13.8,1.75,24.6,406.8,2.94,35.4,2.1000000000000227,0.5
DCSW2,2021-08-04,summer,22.5,488.9,3.81,43.9,1.25,24.1,481.4,8.17,97.8,-7.5,1.6000000000000014
DCSW2,2022-01-13,winter,4.2,660,6.81,51.9,1,1.8,566,15.2,108.7,-94,-2.4000000000000004
DCSW2,2022-01-27,winter,3.5,600,4.9,37.5,1.25,1.6,589,10.02,76.3,-11,-1.9
DCSW2,2022-02-09,winter,2.9,696,1.57,11.7,1,0.6,693,3.64,25.4,-3,-2.3
DCSW3,2021-06-09,summer,17,524,9.2,95.5,1.75,28.7,578,11.5,148.7,54,11.7
DCSW3,2021-06-21,summer,19.5,565,0.11,1.2,2,22.2,400,1.96,22.5,-165,2.6999999999999993
DCSW3,2021-07-01,summer,22.1,250.3,0.08,0.9,1.75,24.9,180.4,2.22,26.8,-69.9,2.799999999999997
DCSW3,2021-07-09,summer,22.4,243,0.05,0.5,1.75,23.8,239.8,1.17,13.9,-3.1999999999999886,1.4000000000000021
DCSW3,2021-07-19,summer,21.5,441.9,0.08,0.9,2,24.7,388,4.74,57.1,-53.89999999999998,3.1999999999999993
DCSW3,2021-07-29,summer,23.9,95.7,0.1,1.2,1.5,25.7,86.9,6.03,73.9,-8.799999999999997,1.8000000000000007
DCSW3,2021-08-04,summer,22.8,427.9,0.2,2.4,2,24.2,419.7,4.62,55.2,-8.199999999999989,1.3999999999999986
DCSW3,2022-01-13,winter,3.5,190.2,9.64,72.7,1.25,1.9,189.6,11.98,86.2,-0.5999999999999943,-1.6
DCSW3,2022-01-27,winter,3.1,186,7.14,53.6,1,0.7,192.2,13.02,92.1,6.199999999999989,-2.4000000000000004
DCSW3,2022-02-09,winter,2.8,258.9,4.81,35.6,1.25,1.4,255.1,6.07,43.6,-3.799999999999983,-1.4
DOBA4,2021-06-07,summer,18.8,303.2,0.4,3.8,1.5,25.8,288,7.39,90.9,-15.199999999999989,7
DOBA4,2021-06-16,summer,22.9,302.9,3.39,39.3,1.25,24,305.1,7.38,87.8,2.2000000000000455,1.1000000000000014
DOBA4,2021-07-01,summer,22.1,118.7,0.19,2.2,1.5,25.2,91.2,8.3,101,-27.5,3.099999999999998
DOBA4,2021-07-09,summer,21.4,93.5,4.64,52.5,1.5,24.2,95.5,9.37,111.3,2,2.8000000000000007
DOBA4,2021-07-16,summer,21.8,93.3,0.13,1.5,1.5,24.3,86.1,8.69,103.9,-7.200000000000003,2.5
DOBA4,2021-07-29,summer,23.9,95.7,0.1,1.2,1.5,25.7,86,6.03,73.9,-9.700000000000003,1.8000000000000007
DOBA4,2021-08-04,summer,21.3,109.5,0.13,1.4,1.73,23.5,92.8,6.97,81.8,-16.700000000000003,2.1999999999999993
DOBA4,2022-01-13,winter,3.5,155,3.35,26.5,1.25,2.2,148,14.28,104.2,-7,-1.2999999999999998
DOBA4,2022-01-27,winter,3.5,149.7,0.83,6.5,1.5,1.4,155.7,9.8,71.9,6,-2.1
DOBA4,2022-02-09,winter,3.5,296.7,0.42,3.2,1.5,1,204.8,7.95,55.6,-91.89999999999998,-2.5
DOBA5,2021-06-07,summer,17.1,386,0.05,0.5,1.75,27.9,376,7.78,99,-10,10.799999999999997
DOBA5,2021-06-16,summer,17.2,418.2,0.08,0.8,2,23.9,355.1,6.68,79.2,-63.099999999999966,6.699999999999999
DOBA5,2021-07-01,summer,19.5,240,0.03,0.4,2,27.2,121.07,8.37,105.3,-118.93,7.699999999999999
DOBA5,2021-07-08,summer,23.8,134.4,2.23,26.4,1.75,24,130.6,4.78,56.8,-3.8000000000000114,0.1999999999999993
DOBA5,2021-07-16,summer,22.5,150.6,0.08,0.8,2,25.8,122,11.42,140.2,-28.599999999999994,3.3000000000000007
DOBA5,2021-07-29,summer,23.7,137.6,0.18,2.2,1.75,27.8,67.3,10.44,131.2,-70.3,4.100000000000001
DOBA5,2021-08-04,summer,21.6,190.4,0.12,1.3,2,23.8,122.4,11.06,131.4,-68,2.1999999999999993
DOBA5,2022-01-13,winter,4,177.5,0.54,4.1,2,3.3,162.6,7.18,54.2,-14.900000000000006,-0.7000000000000002
DOBA5,2022-01-27,winter,4.6,508,0.08,0.6,2,2,165.3,0.73,5.4,-342.7,-2.5999999999999996
DOBA5,2022-02-09,winter,4.2,253.9,0.22,1.7,2,1.3,201.9,2.58,18.3,-52,-2.9000000000000004
DOBA7,2021-06-02,summer,13.5,538,0.53,5.2,1.5,25.9,563,10.77,131.5,25,12.399999999999999
DOBA7,2021-06-14,summer,24.4,629,2.09,25.2,1.25,25,625,6.52,79,-4,0.6000000000000014
DOBA7,2021-06-29,summer,23.9,182.2,4.26,50.5,2,24,195.5,5,59.4,13.300000000000011,0.10000000000000142
DOBA7,2021-07-07,summer,26.5,220.6,0.26,3.3,1.5,26,215.9,4.7,58.8,-4.699999999999989,-0.5
DOBA7,2021-07-12,summer,22.4,246.3,0.1,1.1,1.75,24,230,8.83,104.8,-16.30000000000001,1.6000000000000014
DOBA7,2021-07-27,summer,25.1,216.4,4.13,50,1.5,24.9,215.7,4.71,57.1,-0.700000000000017,-0.20000000000000284
DOBA7,2021-08-03,summer,22.9,207.8,5.22,60.8,1.25,23.9,208.1,8.55,101.4,0.29999999999998295,1
DOBA7,2022-01-14,winter,4.5,2750,3.14,30.1,1.75,1.1,942,16.91,119.9,-1808,-3.4
DOBA7,2022-01-31,winter,5.3,2238,0.43,3.5,1.5,0.6,1152,10.87,76,-1086,-4.7
DOBA7,2022-02-11,winter,4.2,4044,1.15,8.9,1.5,0.5,1610,7.59,53.8,-2434,-3.7
DOBA8,2021-06-10,summer,18.5,265.3,0.44,4.7,1.75,28.8,271.1,4.57,58.8,5.800000000000011,10.3
DOBA8,2021-06-17,summer,23.2,282,0.22,2.5,1.75,25.3,275.9,5.74,70,-6.100000000000023,2.1000000000000014
DOBA8,2021-06-30,summer,20.8,161.8,0.07,0.8,2,25.6,109,8.42,102.8,-52.80000000000001,4.800000000000001
DOBA8,2021-07-08,summer,24.2,105.6,0.03,0.3,2,24.4,103.5,1.54,18.4,-2.0999999999999943,0.1999999999999993
DOBA8,2021-07-20,summer,21.2,130.4,0.06,0.7,2,25.7,101.2,5.67,69.5,-29.200000000000003,4.5
DOBA8,2021-07-26,summer,23.7,118.9,0.16,1.9,1.75,26.6,106.7,6.4,80.2,-12.200000000000003,2.900000000000002
DOBA8,2021-08-05,summer,22.4,112.5,0.16,1.9,2,25.1,95,9.19,111.4,-17.5,2.700000000000003
DOBA8,2022-01-14,winter,5.8,399.6,0.51,4.1,2,2.5,254.5,8.31,63.4,-145.10000000000002,-3.3
DOBA8,2022-01-30,winter,4.8,326.5,0.07,0.6,1.75,2.4,272.1,0.83,6.4,-54.39999999999998,-2.4
DOBA8,2022-02-10,winter,4.7,377.6,0.3,2.4,1.75,1.5,327.4,2.63,19.6,-50.200000000000045,-3.2
ELV,2021-06-08,summer,14.6,569,0.07,0.7,2.75,27.1,567,8.43,106.3,-2,12.500000000000002
ELV,2021-06-17,summer,19.1,611,0.08,0.9,2.5,24.6,575,8.38,100.8,-36,5.5
ELV,2021-06-30,summer,21.6,203.4,0.03,0.3,2.75,25.9,258,4.59,56.5,54.599999999999994,4.299999999999997
ELV,2021-07-08,summer,20.1,376,0.02,0.2,3,23.4,254.1,1.28,15.3,-121.9,3.299999999999997
ELV,2021-07-20,summer,20.6,495,0.04,0.4,3,25.7,222.5,7.97,97.7,-272.5,5.099999999999998
ELV,2021-07-26,summer,20.7,300,0.05,0.6,3,26.5,225.9,7.14,88.9,-74.1,5.800000000000001
ELV,2021-08-03,summer,22.3,240.7,0.07,0.8,3.25,24.1,211.4,5.2,62.1,-29.299999999999983,1.8000000000000007
ELV,2022-01-14,winter,3.9,202.2,5.19,39.6,3,0.4,168,14.1,99,-34.19999999999999,-3.5
ELV,2022-01-30,winter,3.9,186.3,2.79,21.3,3,0.5,186.5,9.1,65.2,0.19999999999998863,-3.4
ELV,2022-02-10,winter,3.4,220.9,3.68,27.9,2.75,0.4,219.8,14.89,103.3,-1.0999999999999943,-3
HP-UW,2021-06-10,summer,21,1611,0.9,10.3,1.75,27.1,1537,12.08,161.8,-74,6.100000000000001
HP-UW,2021-06-18,summer,22.2,1420,1.49,17.1,1.75,23.4,386.1,7.65,89.5,-1033.9,1.1999999999999993
HP-UW,2021-06-29,summer,21.3,1392,4.04,46,1.75,23.2,445.2,6.13,71.7,-946.8,1.8999999999999986
HP-UW,2021-07-07,summer,23.3,1312,10.16,119.6,1.5,25.2,999,7.96,96.7,-313,1.8999999999999986
HP-UW,2021-07-21,summer,22.6,1481,5.68,65.9,2,24.2,1168,11.64,138.8,-313,1.5999999999999979
HP-UW,2021-07-26,summer,23.1,1476,1.98,22.6,1.75,25.8,1276,9.42,115.6,-200,2.6999999999999993
HP-UW,2021-08-05,summer,22.4,1528,8.02,92.6,2,24.1,1244,9.81,116.9,-284,1.7000000000000028
HP-UW,2022-01-12,winter,4,1930,13.16,101,1.25,3.4,1868,13.04,98.7,-62,-0.6000000000000001
HP-UW,2022-01-31,winter,4.3,1616,14.26,110.2,1.5,2.5,1476,14.66,108.2,-140,-1.7999999999999998
HP-UW,2022-02-09,winter,4.5,1886,18.64,143.7,1.25,2.7,1836,16.81,125.9,-50,-1.7999999999999998
KP,2021-06-11,summer,17.3,253.6,0.06,0.6,0.75,23.8,178.3,0.78,9.2,-75.29999999999998,6.5
KP,2021-06-22,summer,18,196.5,0.06,0.6,1,20.9,178.4,2.34,26.2,-18.099999999999994,2.8999999999999986
KP,2021-07-02,summer,18.9,267.5,0.08,0.8,1,21.7,171.4,2.9,33.4,-96.1,2.8000000000000007
KP,2021-07-07,summer,18.6,297.5,0.08,0.9,1,24.5,169.7,3.82,45.7,-127.80000000000001,5.899999999999999
KP,2021-07-14,summer,20,184.4,0.12,1.3,0.75,22.9,170,5.99,69.3,-14.400000000000006,2.8999999999999986
KP,2021-07-27,summer,20.6,298.9,0.08,0.9,1,23.1,176.1,1.92,22.5,-122.79999999999998,2.5
KP,2021-08-03,summer,18.3,187.9,0.18,2,1,24.2,191.7,5.68,67.7,3.799999999999983,5.899999999999999
KP,2022-01-14,winter,2.2,316.2,0.89,6.7,1,0.3,284.2,4.67,33.6,-32,-1.9000000000000001
KP,2022-01-30,winter,1.4,408.6,0.03,0.2,0.75,0.2,406.3,0.92,7.2,-2.3000000000000114,-1.2
KP,2022-02-10,winter,0.2,574,0.7,5.1,0.5,0.4,581,4.53,37.4,7,0.2
L60-UW,2021-06-11,summer,19.3,1372,0.16,1.8,1,32.4,1295,11.1,151,-77,13.099999999999998
L60-UW,2021-06-18,summer,19.4,1374,0.08,0.1,1.25,22.7,226.4,5.44,63,-1147.6,3.3000000000000007
L60-UW,2021-07-02,summer,19.1,1038,0.06,0.7,1,23.1,453.4,0.94,10.8,-584.6,4
L60-UW,2021-07-07,summer,18.8,1166,0.06,0.6,1,24.8,392.7,1.68,28.2,-773.3,6
L60-UW,2021-07-13,summer,18.1,868,0.11,1.2,1,23,461.7,4.64,54.1,-406.3,4.899999999999999
L60-UW,2021-07-26,summer,17.5,1032,0.07,0.7,1,23.5,448.3,3.02,35.2,-583.7,6
L60-UW,2021-08-05,summer,17.6,858,0.09,0.9,1,20.5,544,0.21,2.3,-314,2.8999999999999986
L60-UW,2022-01-13,winter,3.4,430.2,1.53,11.6,1,1.4,430.6,5.7,40.5,0.4000000000000341,-2
L60-UW,2022-01-31,winter,0.4,455.6,1.23,8.6,0.5,0.5,237.1,2.22,15.6,-218.50000000000003,0.09999999999999998
L60-UW,2022-02-09,winter,0.9,635,3.26,23.1,0.75,0.4,629,5.27,37.1,-6,-0.5
LM-ARB,2021-06-03,summer,22.3,831,7.17,82.7,0.25,22.3,831,6.92,79.6,0,0
LM-ARB,2021-06-15,summer,24.4,955,2.96,35.4,0.5,24.2,952,3.59,43,-3,-0.1999999999999993
LM-ARB,2021-06-30,summer,24.9,316.8,7.3,86.1,0.75,27.2,325.4,7.48,94.2,8.599999999999966,2.3000000000000007
LM-ARB,2021-07-08,summer,22,311.9,0.93,10.7,0.75,22,311.6,1.02,11.7,-0.2999999999999545,0
LM-ARB,2021-07-13,summer,22.4,394.3,2.96,34.4,0.5,22.4,393.4,4.02,46.4,-0.9000000000000341,0
LM-ARB,2021-07-30,summer,24.9,312,2.75,33.3,0.75,25.3,312,3.88,47.4,0,0.40000000000000213
LM-ARB,2021-08-02,summer,22.1,350.4,4.41,47.5,1,23.3,353,7.45,87.9,2.6000000000000227,1.1999999999999993
LM-ARB,2022-01-12,winter,2.3,894,4.65,34.2,0.5,1.4,788,7.94,60,-106,-0.8999999999999999
LM-ARB,2022-01-31,winter,0.7,900,3.62,25.3,0.5,0.3,907,4.54,31.6,7,-0.39999999999999997
LM-ARB,2022-02-11,winter,0.5,1236,2.91,21.2,0.25,0.7,1239,4.69,38.4,3,0.19999999999999996
MDT,2021-06-10,summer,27.6,345.3,8.76,111.4,1.25,28.1,344.9,9.15,117.1,-0.4000000000000341,0.5
MDT,2021-06-17,summer,24.4,366.7,13.31,159.4,1.25,25.5,363.9,12.82,156.5,-2.8000000000000114,1.1000000000000014
MDT,2021-06-30,summer,22.3,163.8,0.08,0.9,1.5,25.1,135.4,8.98,108.8,-28.400000000000006,2.8000000000000007
MDT,2021-07-08,summer,22.7,135.5,1.4,16.2,1.5,22.8,133.3,3.53,40.9,-2.1999999999999886,0.10000000000000142
MDT,2021-07-20,summer,23.7,130.2,0.19,2.3,1.5,25.1,126.9,6.52,79.2,-3.299999999999983,1.4000000000000021
MDT,2021-07-26,summer,25.7,144.3,0.64,7.7,1.5,26.3,133.7,6.6,81.8,-10.600000000000023,0.6000000000000014
MDT,2021-08-05,summer,23.9,110.8,3.73,44.2,1.5,25.1,108.8,7.69,93.2,-2,1.2000000000000028
MDT,2022-01-14,winter,3.4,199.6,14.06,106.1,1.5,2.2,198.7,15.15,110.7,-0.9000000000000057,-1.1999999999999997
MDT,2022-01-30,winter,3.4,226,2.94,22.3,1,1.1,218.9,9.72,69.2,-7.099999999999994,-2.3
MDT,2022-02-10,winter,1.4,301,9.89,73.5,1,0,298,12.6,87.6,-3,-1.4
O-N,2021-06-11,summer,26.1,718,0.49,6.1,1,31.1,677,15.01,202.4,-41,5
O-N,2021-06-22,summer,21.6,472.2,4.06,46.1,1,21.7,465.5,4.61,52.4,-6.699999999999989,0.09999999999999787
O-N,2021-07-01,summer,24.6,489.3,5.75,69.2,1,24.7,487.3,6.59,79.3,-2,0.09999999999999787
O-N,2021-07-07,summer,26.9,492.1,3.22,40.5,1,27,488.9,6.6,82.8,-3.2000000000000455,0.10000000000000142
O-N,2021-07-14,summer,23.8,533,1.94,23,1,25.3,515,11.55,140.5,-18,1.5
O-N,2021-07-27,summer,26.3,503,5.08,63.1,1,26,502,6.57,81.1,-1,-0.3000000000000007
O-N,2021-08-03,summer,23.4,474.5,4.01,47.1,1,27,471.1,11.51,144.3,-3.3999999999999773,3.6000000000000014
O-N,2022-01-14,winter,4,609,15.51,119.1,1,0.4,590,17.11,120.5,-19,-3.6
O-N,2022-01-30,winter,3.7,599,20.47,155.5,1,2.3,597,19.31,140.8,-2,-1.4000000000000004
O-N,2022-02-10,winter,4,718,17.84,136.5,1,2.1,707,19.53,140.4,-11,-1.9
O-S,2021-06-11,summer,27.6,683,2.08,26.6,1,29.5,672,9.74,127.9,-11,1.8999999999999986
O-S,2021-06-22,summer,20.8,491.5,2.56,28.6,1,23.3,494.1,5.25,61.9,2.6000000000000227,2.5
O-S,2021-07-01,summer,23.9,463.9,2.92,34.7,1,24.2,463,4.36,52.1,-0.8999999999999773,0.3000000000000007
O-S,2021-07-07,summer,26.4,459.6,1.17,14.5,1,26.5,454.8,3.99,37.2,-4.800000000000011,0.10000000000000142
O-S,2021-07-14,summer,23.3,459.9,2.07,24.3,1,24.2,450.4,6.51,77.6,-9.5,0.8999999999999986
O-S,2021-07-27,summer,25.4,430.4,0.3,3.7,1,25.6,417,5.82,71,-13.399999999999977,0.20000000000000284
O-S,2021-08-03,summer,22.7,426.5,3.13,36.4,1,25.6,434.8,9.93,122.5,8.300000000000011,2.900000000000002
O-S,2022-01-14,winter,3.7,569,10.09,92.4,1.25,1.2,557,16.44,117.6,-12,-2.5
O-S,2022-01-30,winter,3.4,550,7.63,58.2,1,0.8,546,12.52,87.9,-4,-2.5999999999999996
O-S,2022-02-10,winter,2.7,679,10.98,82.3,1,1,676,13.84,98.6,-3,-1.7000000000000002
OPP-E,2021-06-02,summer,14.1,196.3,0.67,6,1,21.5,183.3,11.75,133,-13,7.4
OPP-E,2021-06-14,summer,24.7,201.3,0.22,2.6,1.25,27,194.6,11.09,139.3,-6.700000000000017,2.3000000000000007
OPP-E,2021-06-29,summer,21.3,206.8,0.08,0.8,1.75,24.3,181.8,6.09,72.8,-25,3
OPP-E,2021-07-07,summer,24,208.4,0.1,1.2,1.5,26.3,184.3,8.51,105.6,-24.099999999999994,2.3000000000000007
OPP-E,2021-07-12,summer,22.3,202.1,0.17,2,1.5,23.3,193.4,8.3,97.3,-8.699999999999989,1
OPP-E,2021-07-30,summer,24.9,215.7,0.17,2,1.5,25.2,212,6.46,78.5,-3.6999999999999886,0.3000000000000007
OPP-E,2021-08-03,summer,22.6,212,3.97,45.5,1.5,23.6,208.9,10.84,128.3,-3.0999999999999943,1
OPP-E,2022-01-12,winter,3.9,192.4,1.2,10.1,1.25,2.1,196.6,8.95,64.6,4.199999999999989,-1.7999999999999998
OPP-E,2022-01-31,winter,3.4,198.9,1.4,1.4,1,0.7,189.4,12.4,12.4,-9.5,-2.7
OPP-E,2022-02-11,winter,3.1,246.1,0.51,4,1,0.9,232,5.84,42.8,-14.099999999999994,-2.2
OPP-W,2021-06-02,summer,11,361.6,0.08,0.7,2,23.9,372,13.34,158.4,10.399999999999977,12.899999999999999
OPP-W,2021-06-14,summer,12.3,439.5,0.03,0.3,2.25,25.9,389.7,12.85,158.7,-49.80000000000001,13.599999999999998
OPP-W,2021-06-29,summer,17.6,342,0.01,0.1,2.5,24.2,131.3,1.79,21.3,-210.7,6.599999999999998
OPP-W,2021-07-07,summer,21.4,185.5,0.05,0.5,1.5,26.4,131.9,7.65,95.1,-53.599999999999994,5
OPP-W,2021-07-12,summer,17.5,393.3,0.03,0.3,2.5,23,132.8,8.85,103.2,-260.5,5.5
OPP-W,2021-07-30,summer,17.2,405,0.04,0.4,2.75,24.3,103.4,0.71,8.5,-301.6,7.100000000000001
OPP-W,2021-08-03,summer,18.8,378.5,0.05,0.5,2.5,22.6,116.5,2.29,25.7,-262,3.8000000000000007
OPP-W,2022-01-12,winter,2.8,208,0.3,2.2,2,1.5,205.9,2.84,20.6,-2.0999999999999943,-1.2999999999999998
OPP-W,2022-01-31,winter,1.3,317.2,0.16,1.1,1.25,0.7,320.2,1.29,9.1,3,-0.6000000000000001
OPP-W,2022-02-11,winter,1.7,402.2,0.31,2.2,2.25,0.5,400.3,2.11,15.7,-1.8999999999999773,-1.2
UM-ARB,2021-06-03,summer,19.8,824,8.41,92.5,0.75,20.4,814,9.72,108,-10,0.5999999999999979
UM-ARB,2021-06-15,summer,24.8,947,3.9,47.1,1,25.8,954,9.46,115.8,7,1
UM-ARB,2021-06-30,summer,24.1,311.6,6.59,78.4,0.75,27.7,317.9,9.06,114.8,6.2999999999999545,3.599999999999998
UM-ARB,2021-07-08,summer,22.1,295.2,0.48,5.6,1,22,293.8,0.67,7.8,-1.3999999999999773,-0.10000000000000142
UM-ARB,2021-07-13,summer,22.8,394.3,6.97,80.6,0.75,23.3,393.1,8.82,103.4,-1.1999999999999886,0.5
UM-ARB,2021-07-30,summer,24.7,291.8,1.52,18.3,0.75,25.4,291.1,4.11,50.3,-0.6999999999999886,0.6999999999999993
UM-ARB,2021-08-02,summer,23.1,346.4,6.77,79.2,0.75,24.7,347.1,10.77,129.1,0.7000000000000455,1.5999999999999979
UM-ARB,2022-01-12,winter,3,798,0.6,4.6,0.75,3.4,777,2.87,21,-21,0.3999999999999999
UM-ARB,2022-01-31,winter,1.5,870,0.68,4.9,0.5,0.6,882,1.9,13.5,12,-0.9
UM-ARB,2022-02-11,winter,2.7,1495,2.47,19.6,0.75,0.8,1315,2.41,20.2,-180,-1.9000000000000001
