pond,DATE,season,wtr,layer,Depth
ELV,2022-02-10,winter,3.4,bottom,2.75
HP-UW,2021-06-10,summer,21,bottom,1.75
HP-UW,2021-06-18,summer,22.2,bottom,1.75
HP-UW,2021-06-29,summer,21.3,bottom,1.75
HP-UW,2021-07-07,summer,23.3,bottom,1.5
HP-UW,2021-07-21,summer,22.6,bottom,2
HP-UW,2021-07-26,summer,23.1,bottom,1.75
HP-UW,2021-08-05,summer,22.4,bottom,2
HP-UW,2022-01-12,winter,4,bottom,1.25
HP-UW,2022-01-31,winter,4.3,bottom,1.5
HP-UW,2022-02-09,winter,4.5,bottom,1.25
KP,2021-06-11,summer,17.3,bottom,0.75
KP,2021-06-22,summer,18,bottom,1
KP,2021-07-02,summer,18.9,bottom,1
KP,2021-07-07,summer,18.6,bottom,1
KP,2021-07-14,summer,20,bottom,0.75
KP,2021-07-27,summer,20.6,bottom,1
KP,2021-08-03,summer,18.3,bottom,1
KP,2022-01-14,winter,2.2,bottom,1
KP,2022-01-30,winter,1.4,bottom,0.75
KP,2022-02-10,winter,0.2,bottom,0.5
L60-UW,2021-06-11,summer,19.3,bottom,1
L60-UW,2021-06-18,summer,19.4,bottom,1.25
L60-UW,2021-07-02,summer,19.1,bottom,1
L60-UW,2021-07-07,summer,18.8,bottom,1
L60-UW,2021-07-13,summer,18.1,bottom,1
L60-UW,2021-07-26,summer,17.5,bottom,1
L60-UW,2021-08-05,summer,17.6,bottom,1
L60-UW,2022-01-13,winter,3.4,bottom,1
L60-UW,2022-01-31,winter,0.4,bottom,0.5
L60-UW,2022-02-09,winter,0.9,bottom,0.75
LM-ARB,2021-06-03,summer,22.3,bottom,0.25
LM-ARB,2021-06-15,summer,24.4,bottom,0.5
LM-ARB,2021-06-30,summer,24.9,bottom,0.75
LM-ARB,2021-07-08,summer,22,bottom,0.75
LM-ARB,2021-07-13,summer,22.4,bottom,0.5
LM-ARB,2021-07-30,summer,24.9,bottom,0.75
LM-ARB,2021-08-02,summer,22.1,bottom,1
LM-ARB,2022-01-12,winter,2.3,bottom,0.5
LM-ARB,2022-01-31,winter,0.7,bottom,0.5
LM-ARB,2022-02-11,winter,0.5,bottom,0.25
MDT,2021-06-10,summer,27.6,bottom,1.25
MDT,2021-06-17,summer,24.4,bottom,1.25
MDT,2021-06-30,summer,22.3,bottom,1.5
MDT,2021-07-08,summer,22.7,bottom,1.5
MDT,2021-07-20,summer,23.7,bottom,1.5
MDT,2021-07-26,summer,25.7,bottom,1.5
MDT,2021-08-05,summer,23.9,bottom,1.5
MDT,2022-01-14,winter,3.4,bottom,1.5
MDT,2022-01-30,winter,3.4,bottom,1
MDT,2022-02-10,winter,1.4,bottom,1
O-N,2021-06-11,summer,26.1,bottom,1
O-N,2021-06-22,summer,21.6,bottom,1
O-N,2021-07-01,summer,24.6,bottom,1
O-N,2021-07-07,summer,26.9,bottom,1
O-N,2021-07-14,summer,23.8,bottom,1
O-N,2021-07-27,summer,26.3,bottom,1
O-N,2021-08-03,summer,23.4,bottom,1
O-N,2022-01-14,winter,4,bottom,1
O-N,2022-01-30,winter,3.7,bottom,1
O-N,2022-02-10,winter,4,bottom,1
O-S,2021-06-11,summer,27.6,bottom,1
O-S,2021-06-22,summer,20.8,bottom,1
O-S,2021-07-01,summer,23.9,bottom,1
O-S,2021-07-07,summer,26.4,bottom,1
O-S,2021-07-14,summer,23.3,bottom,1
O-S,2021-07-27,summer,25.4,bottom,1
O-S,2021-08-03,summer,22.7,bottom,1
O-S,2022-01-14,winter,3.7,bottom,1.25
O-S,2022-01-30,winter,3.4,bottom,1
O-S,2022-02-10,winter,2.7,bottom,1
OPP-E,2021-06-02,summer,14.1,bottom,1
OPP-E,2021-06-14,summer,24.7,bottom,1.25
OPP-E,2021-06-29,summer,21.3,bottom,1.75
OPP-E,2021-07-07,summer,24,bottom,1.5
OPP-E,2021-07-12,summer,22.3,bottom,1.5
OPP-E,2021-07-30,summer,24.9,bottom,1.5
OPP-E,2021-08-03,summer,22.6,bottom,1.5
OPP-E,2022-01-12,winter,3.9,bottom,1.25
OPP-E,2022-01-31,winter,3.4,bottom,1
OPP-E,2022-02-11,winter,3.1,bottom,1
OPP-W,2021-06-02,summer,11,bottom,2
OPP-W,2021-06-14,summer,12.3,bottom,2.25
OPP-W,2021-06-29,summer,17.6,bottom,2.5
OPP-W,2021-07-07,summer,21.4,bottom,1.5
OPP-W,2021-07-12,summer,17.5,bottom,2.5
OPP-W,2021-07-30,summer,17.2,bottom,2.75
OPP-W,2021-08-03,summer,18.8,bottom,2.5
OPP-W,2022-01-12,winter,2.8,bottom,2
OPP-W,2022-01-31,winter,1.3,bottom,1.25
OPP-W,2022-02-11,winter,1.7,bottom,2.25
UM-ARB,2021-06-03,summer,19.8,bottom,0.75
UM-ARB,2021-06-15,summer,24.8,bottom,1
UM-ARB,2021-06-30,summer,24.1,bottom,0.75
UM-ARB,2021-07-08,summer,22.1,bottom,1
UM-ARB,2021-07-13,summer,22.8,bottom,0.75
UM-ARB,2021-07-30,summer,24.7,bottom,0.75
UM-ARB,2021-08-02,summer,23.1,bottom,0.75
UM-ARB,2022-01-12,winter,3,bottom,0.75
UM-ARB,2022-01-31,winter,1.5,bottom,0.5
UM-ARB,2022-02-11,winter,2.7,bottom,0.75
ALC,2021-06-08,summer,24.2,top,0.5
ALC,2021-06-15,summer,27.1,top,0.75
ALC,2021-07-02,summer,24.1,top,0.75
ALC,2021-07-08,summer,21.4,top,0.5
ALC,2021-07-21,summer,22.1,top,0.75
ALC,2021-07-27,summer,22.8,top,0.75
ALC,2021-08-03,summer,20.3,top,0.75
ALC,2022-01-13,winter,0.8,top,0.5
ALC,2022-01-27,winter,0.7,top,0.75
ALC,2022-02-09,winter,0.5,top,0.75
CAP,2021-06-07,summer,26.2,top,1
CAP,2021-06-16,summer,25.8,top,1
CAP,2021-07-01,summer,28.1,top,1.25
CAP,2021-07-08,summer,23.5,top,1.25
CAP,2021-07-16,summer,23.3,top,1.75
CAP,2021-07-29,summer,27.3,top,1
CAP,2021-08-04,summer,25.1,top,1.25
CAP,2022-01-13,winter,2.6,top,1
CAP,2022-01-27,winter,1.3,top,1.25
CAP,2022-02-09,winter,0.9,top,1
DCSW1,2021-06-09,summer,26.9,top,1.5
DCSW1,2021-06-21,summer,22.6,top,1.75
DCSW1,2021-07-01,summer,24.3,top,2
DCSW1,2021-07-09,summer,23.2,top,2
DCSW1,2021-07-19,summer,24.5,top,1.75
DCSW1,2021-07-29,summer,25.4,top,2
DCSW1,2021-08-04,summer,25.4,top,1.75
DCSW1,2022-01-13,winter,2.4,top,2
DCSW1,2022-01-27,winter,1.8,top,1.75
DCSW1,2022-02-09,winter,1.9,top,1.75
DCSW2,2021-06-09,summer,27.3,top,1.5
DCSW2,2021-06-21,summer,22.3,top,1.5
DCSW2,2021-07-01,summer,24.6,top,1.5
DCSW2,2021-07-09,summer,22.8,top,1.75
DCSW2,2021-07-19,summer,24.6,top,1.5
DCSW2,2021-07-29,summer,24.6,top,1.75
DCSW2,2021-08-04,summer,24.1,top,1.25
DCSW2,2022-01-13,winter,1.8,top,1
DCSW2,2022-01-27,winter,1.6,top,1.25
DCSW2,2022-02-09,winter,0.6,top,1
DCSW3,2021-06-09,summer,28.7,top,1.75
DCSW3,2021-06-21,summer,22.2,top,2
DCSW3,2021-07-01,summer,24.9,top,1.75
DCSW3,2021-07-09,summer,23.8,top,1.75
DCSW3,2021-07-19,summer,24.7,top,2
DCSW3,2021-07-29,summer,25.7,top,1.5
DCSW3,2021-08-04,summer,24.2,top,2
DCSW3,2022-01-13,winter,1.9,top,1.25
DCSW3,2022-01-27,winter,0.7,top,1
DCSW3,2022-02-09,winter,1.4,top,1.25
DOBA4,2021-06-07,summer,25.8,top,1.5
DOBA4,2021-06-16,summer,24,top,1.25
DOBA4,2021-07-01,summer,25.2,top,1.5
DOBA4,2021-07-09,summer,24.2,top,1.5
DOBA4,2021-07-16,summer,24.3,top,1.5
DOBA4,2021-07-29,summer,25.7,top,1.5
DOBA4,2021-08-04,summer,23.5,top,1.73
DOBA4,2022-01-13,winter,2.2,top,1.25
DOBA4,2022-01-27,winter,1.4,top,1.5
DOBA4,2022-02-09,winter,1,top,1.5
DOBA5,2021-06-07,summer,27.9,top,1.75
DOBA5,2021-06-16,summer,23.9,top,2
DOBA5,2021-07-01,summer,27.2,top,2
DOBA5,2021-07-08,summer,24,top,1.75
DOBA5,2021-07-16,summer,25.8,top,2
DOBA5,2021-07-29,summer,27.8,top,1.75
DOBA5,2021-08-04,summer,23.8,top,2
DOBA5,2022-01-13,winter,3.3,top,2
DOBA5,2022-01-27,winter,2,top,2
DOBA5,2022-02-09,winter,1.3,top,2
DOBA7,2021-06-02,summer,25.9,top,1.5
DOBA7,2021-06-14,summer,25,top,1.25
DOBA7,2021-06-29,summer,24,top,2
DOBA7,2021-07-07,summer,26,top,1.5
DOBA7,2021-07-12,summer,24,top,1.75
DOBA7,2021-07-27,summer,24.9,top,1.5
DOBA7,2021-08-03,summer,23.9,top,1.25
DOBA7,2022-01-14,winter,1.1,top,1.75
DOBA7,2022-01-31,winter,0.6,top,1.5
DOBA7,2022-02-11,winter,0.5,top,1.5
DOBA8,2021-06-10,summer,28.8,top,1.75
DOBA8,2021-06-17,summer,25.3,top,1.75
DOBA8,2021-06-30,summer,25.6,top,2
DOBA8,2021-07-08,summer,24.4,top,2
DOBA8,2021-07-20,summer,25.7,top,2
DOBA8,2021-07-26,summer,26.6,top,1.75
DOBA8,2021-08-05,summer,25.1,top,2
DOBA8,2022-01-14,winter,2.5,top,2
DOBA8,2022-01-30,winter,2.4,top,1.75
DOBA8,2022-02-10,winter,1.5,top,1.75
ELV,2021-06-08,summer,27.1,top,2.75
ELV,2021-06-17,summer,24.6,top,2.5
ELV,2021-06-30,summer,25.9,top,2.75
ELV,2021-07-08,summer,23.4,top,3
ELV,2021-07-20,summer,25.7,top,3
ELV,2021-07-26,summer,26.5,top,3
ELV,2021-08-03,summer,24.1,top,3.25
ELV,2022-01-14,winter,0.4,top,3
ELV,2022-01-30,winter,0.5,top,3
ELV,2022-02-10,winter,0.4,top,2.75
HP-UW,2021-06-10,summer,27.1,top,1.75
HP-UW,2021-06-18,summer,23.4,top,1.75
HP-UW,2021-06-29,summer,23.2,top,1.75
HP-UW,2021-07-07,summer,25.2,top,1.5
HP-UW,2021-07-21,summer,24.2,top,2
HP-UW,2021-07-26,summer,25.8,top,1.75
HP-UW,2021-08-05,summer,24.1,top,2
HP-UW,2022-01-12,winter,3.4,top,1.25
HP-UW,2022-01-31,winter,2.5,top,1.5
HP-UW,2022-02-09,winter,2.7,top,1.25
KP,2021-06-11,summer,23.8,top,0.75
KP,2021-06-22,summer,20.9,top,1
KP,2021-07-02,summer,21.7,top,1
KP,2021-07-07,summer,24.5,top,1
KP,2021-07-14,summer,22.9,top,0.75
KP,2021-07-27,summer,23.1,top,1
KP,2021-08-03,summer,24.2,top,1
KP,2022-01-14,winter,0.3,top,1
KP,2022-01-30,winter,0.2,top,0.75
KP,2022-02-10,winter,0.4,top,0.5
L60-UW,2021-06-11,summer,32.4,top,1
L60-UW,2021-06-18,summer,22.7,top,1.25
L60-UW,2021-07-02,summer,23.1,top,1
L60-UW,2021-07-07,summer,24.8,top,1
L60-UW,2021-07-13,summer,23,top,1
L60-UW,2021-07-26,summer,23.5,top,1
L60-UW,2021-08-05,summer,20.5,top,1
L60-UW,2022-01-13,winter,1.4,top,1
L60-UW,2022-01-31,winter,0.5,top,0.5
L60-UW,2022-02-09,winter,0.4,top,0.75
LM-ARB,2021-06-03,summer,22.3,top,0.25
LM-ARB,2021-06-15,summer,24.2,top,0.5
LM-ARB,2021-06-30,summer,27.2,top,0.75
LM-ARB,2021-07-08,summer,22,top,0.75
LM-ARB,2021-07-13,summer,22.4,top,0.5
LM-ARB,2021-07-30,summer,25.3,top,0.75
LM-ARB,2021-08-02,summer,23.3,top,1
LM-ARB,2022-01-12,winter,1.4,top,0.5
LM-ARB,2022-01-31,winter,0.3,top,0.5
LM-ARB,2022-02-11,winter,0.7,top,0.25
MDT,2021-06-10,summer,28.1,top,1.25
MDT,2021-06-17,summer,25.5,top,1.25
MDT,2021-06-30,summer,25.1,top,1.5
MDT,2021-07-08,summer,22.8,top,1.5
MDT,2021-07-20,summer,25.1,top,1.5
MDT,2021-07-26,summer,26.3,top,1.5
MDT,2021-08-05,summer,25.1,top,1.5
MDT,2022-01-14,winter,2.2,top,1.5
MDT,2022-01-30,winter,1.1,top,1
MDT,2022-02-10,winter,0,top,1
O-N,2021-06-11,summer,31.1,top,1
O-N,2021-06-22,summer,21.7,top,1
O-N,2021-07-01,summer,24.7,top,1
O-N,2021-07-07,summer,27,top,1
O-N,2021-07-14,summer,25.3,top,1
O-N,2021-07-27,summer,26,top,1
O-N,2021-08-03,summer,27,top,1
O-N,2022-01-14,winter,0.4,top,1
O-N,2022-01-30,winter,2.3,top,1
O-N,2022-02-10,winter,2.1,top,1
O-S,2021-06-11,summer,29.5,top,1
O-S,2021-06-22,summer,23.3,top,1
O-S,2021-07-01,summer,24.2,top,1
O-S,2021-07-07,summer,26.5,top,1
O-S,2021-07-14,summer,24.2,top,1
O-S,2021-07-27,summer,25.6,top,1
O-S,2021-08-03,summer,25.6,top,1
O-S,2022-01-14,winter,1.2,top,1.25
O-S,2022-01-30,winter,0.8,top,1
O-S,2022-02-10,winter,1,top,1
OPP-E,2021-06-02,summer,21.5,top,1
OPP-E,2021-06-14,summer,27,top,1.25
OPP-E,2021-06-29,summer,24.3,top,1.75
OPP-E,2021-07-07,summer,26.3,top,1.5
OPP-E,2021-07-12,summer,23.3,top,1.5
OPP-E,2021-07-30,summer,25.2,top,1.5
OPP-E,2021-08-03,summer,23.6,top,1.5
OPP-E,2022-01-12,winter,2.1,top,1.25
OPP-E,2022-01-31,winter,0.7,top,1
OPP-E,2022-02-11,winter,0.9,top,1
OPP-W,2021-06-02,summer,23.9,top,2
OPP-W,2021-06-14,summer,25.9,top,2.25
OPP-W,2021-06-29,summer,24.2,top,2.5
OPP-W,2021-07-07,summer,26.4,top,1.5
OPP-W,2021-07-12,summer,23,top,2.5
OPP-W,2021-07-30,summer,24.3,top,2.75
OPP-W,2021-08-03,summer,22.6,top,2.5
OPP-W,2022-01-12,winter,1.5,top,2
OPP-W,2022-01-31,winter,0.7,top,1.25
OPP-W,2022-02-11,winter,0.5,top,2.25
UM-ARB,2021-06-03,summer,20.4,top,0.75
UM-ARB,2021-06-15,summer,25.8,top,1
UM-ARB,2021-06-30,summer,27.7,top,0.75
UM-ARB,2021-07-08,summer,22,top,1
UM-ARB,2021-07-13,summer,23.3,top,0.75
UM-ARB,2021-07-30,summer,25.4,top,0.75
UM-ARB,2021-08-02,summer,24.7,top,0.75
UM-ARB,2022-01-12,winter,3.4,top,0.75
UM-ARB,2022-01-31,winter,0.6,top,0.5
UM-ARB,2022-02-11,winter,0.8,top,0.75
