code,pond,date,round,NH4,NO2_NO3,SRP
S81,UM-ARB,2021-08-02,5,26.459,2.864,6.623
S82,LM-ARB,2021-08-02,5,35.834,2.685,8.863
S83,ALC,2021-08-02,5,19.015,4.66,15.43
S84,OPP-E,2021-08-03,5,18.593,3.566,15.992
S85,OPP-W,2021-08-03,5,13.995,3.924,55.976
S86,DOBA7,2021-08-03,5,11.245,1.157,8.638
S87,ELV,2021-08-03,5,20.382,1.977,11.597
S88,KP,2021-08-03,5,17.927,1.452,62.224
S89,O-N,2021-08-03,5,11.087,1.205,5.598
S90,O-S,2021-08-03,5,7.617,1.197,11.695
S91,DCSW1,2021-08-04,5,10.024,1.03,3.758
S92,DCSW2,2021-08-04,5,16.45,3.194,7.091
S93,DCSW3,2021-08-04,5,12.557,1.469,10.71
S94,DOBA4,2021-08-04,5,13.537,2.78,8.239
S95,DOBA5,2021-08-04,5,28.03,1.493,4.611
S96,CAP,2021-08-04,5,17.428,1.127,2.703
S97,L60-UW,2021-08-05,5,195.667,2.05,9.804
S98,HP-UW,2021-08-05,5,77.49,901.794,0.688
S99,DOBA8,2021-08-05,5,17.665,7.617,4.898
S100,MDT,2021-08-05,5,7.181,0.742,3.894
