pond,season,bottom_do,densGrad,RTRM,zmax_m,chloride_mgL,sulfate_mgL,secchi_m,TSS_gL,POM_gL,OM_perc,DOC,DIC,chla,co2,ch4
DOBA4,winter,12.06666667,0.053,6.032,1.64,23.98333333,2.076666667,0.3,0.036333333,0.030666667,85.24666667,5.241666667,13.32033333,475.5,139.1113333,4.983333333
DOBA5,summer,4.628571429,1.177714286,143.0718571,NA,37.72,2.414,0.6,0.026333333,0.022833333,85.075,7.9806,9.2416,157.35,11.6665,16.295
DOBA5,winter,2.133333333,0.039666667,3.720666667,2.08,21.79,2.03,0.5,0.019,0.017,90.21666667,6.932333333,15.59333333,242.7333333,179.4723333,25.60866667
DOBA7,summer,28.01428571,0.524285714,54.22057143,NA,75.498,5.194,0.3,0.027333333,0.016,58.50833333,6.3824,8.7446,84,2.851,0.74575
DOBA7,winter,14.16666667,0.087666667,10.06333333,1.716,289.4063333,6.663333333,0.5,0.006666667,0.006,85.26,4.512666667,17.79333333,42.96666667,82.45133333,66.35633333
DOBA8,summer,1.828571429,0.965428571,116.7312857,NA,25.1,2.102,0.7,0.008833333,0.007666667,67.01333333,5.8348,8.926,25.96666667,32.80825,1.416
DOBA8,winter,2.366666667,0.035,2.169333333,2.033,20.68666667,4.623333333,1.1,0.002666667,0.002333333,90.86666667,3.608666667,27.01666667,7.133333333,253.3333333,6.698
ELV,summer,0.557142857,1.263857143,152.3005714,NA,75.952,3.372,0.6,0.008833333,0.006166667,68.915,6.0476,10.0956,32,23.964,1.26775
ELV,winter,29.6,0.104,12.63533333,2.97,27.08,3.563333333,0.4,0.007333333,0.006,78.78666667,4.174,13.88,130.4333333,29.178,16.389
HP-UW,summer,53.44285714,0.599,72.51242857,NA,173.5066667,23.535,0.6,0.011333333,0.004833333,42.61833333,2.507,40.264,13.55,58.39175,1.72725
HP-UW,winter,118.3,0.016666667,1.256666667,1.982,343.07,40.88666667,1.5,0.002333333,0.001333333,56.36,1.355666667,81.06333333,4.733333333,120.2666667,3.188666667
KP,summer,1.014285714,0.909857143,110.5168571,NA,18.66,0.97,0.3,0.043833333,0.033833333,75.56666667,8.4946,16.022,104.7166667,561.58325,71.31675
KP,winter,4,0.058666667,5.635666667,1.14,41.15333333,1.033333333,0.1,0.147333333,0.052666667,36.54,11.89966667,40.33333333,337,2396.666667,690.7776667
L60-UW,summer,0.857142857,1.332,161.071,NA,119.588,2.44,0.5,0.011333333,0.008166667,68.71166667,7.0846,21.1472,56.13333333,221.82525,86.635
L60-UW,winter,14.43333333,0.028666667,3.014666667,1.17,91.46666667,4.56,0.5,0.018,0.012333333,63.84333333,5.488666667,29.06,72.73333333,518.7776667,49.011
LM-ARB,summer,47.15714286,0.149428571,16.46014286,NA,101.696,4.852,0.3,0.031166667,0.017833333,59.54833333,6.988,25.002,116.1333333,93.84175,1.55575
LM-ARB,winter,26.9,0.022333333,1.784,0.68,144.0633333,19.64666667,0.5,0.008,0.005333333,69.17666667,2.892666667,71.23,32.16666667,518.333,12.77566667
MDT,summer,48.87142857,0.299142857,33.77128571,NA,34.032,2.212,0.7,0.008166667,0.007166667,88.225,6.3922,8.3066,34.3,0.2285,0.771
MDT,winter,67.3,0.060666667,6.762,1.59,28.58,3.726666667,0.4,0.016666667,0.014666667,86.69,4.085666667,18.68333333,180.7333333,80.358,0.527333333
O-N,summer,42.15714286,0.423142857,47.83685714,NA,61.075,13.68,0.3,0.034,0.017666667,49.42,5.273,35.054,48.53333333,23.25425,0.6865
O-N,winter,137.0333333,0.054666667,6.414333333,1.14,57.11333333,17.44666667,0.5,0.006333333,0.003666667,59.46666667,4.512,55.84,14.13333333,68.22233333,0.662
O-S,summer,24.11428571,0.323142857,38.46242857,NA,66.346,10.612,0.6,0.02,0.009,41.45666667,5.0396,29.698,24.53333333,21.13775,1.07325
O-S,winter,77.63333333,0.071666667,8.297333333,1.15,65.87,9.96,0.5,0.008666667,0.002333333,37.84666667,5.426,50.59333333,7.966666667,143.4333333,1.043
OPP-E,summer,8.585714286,0.554142857,66.17128571,NA,9.986,4.992,0.3,0.038166667,0.025666667,68.03666667,8.2124,16.534,173.05,2.056,0.88475
OPP-E,winter,5.166666667,0.062666667,7.618666667,1.636,8.676666667,3.456666667,0.3,0.033333333,0.029666667,88.35,6.449,24.31666667,433.1333333,273.3333333,1.684333333
OPP-W,summer,0.4,1.594571429,192.4795714,NA,29.828,4.918,0.3,0.032333333,0.027166667,82.96666667,10.4472,14.464,326.9166667,207.9215,14.6725
OPP-W,winter,1.833333333,0.046666667,5.17,2.667,36.04,5.896666667,0.3,0.033666667,0.026,78.92,5.294,25.5,400.9333333,543,11.697
UM-ARB,summer,57.38571429,0.293,34.89771429,NA,101.866,5.428,0.3,0.039666667,0.023,59.58666667,6.8342,24.504,127.5833333,103.94175,2.02025
UM-ARB,winter,9.7,0.043666667,4.453666667,0.958,149.51,19.62666667,0.5,0.008333333,0.004666667,59.87333333,3.738,73.38666667,14.13333333,1036.444333,149.3223333
