pond,date,depth,dissolvedCO2_microMolar,dissolvedCH4_microMolar,dissolvedN2O_microMolar,season,flags
O-S,2021-06-11,Surface,21.8,0.503,0.00705,summer,
DOBA7,2021-06-14,Surface,10.9,1.33,0.007520000000000001,summer,
DOBA7,2021-06-14,Surface,10.4,1.03,0.00769,summer,
DOBA7,2021-06-14,Surface,7.34,1.7,0.00661,summer,
OPP-E,2021-06-14,Surface,3.84,0.9710000000000001,0.00658,summer,
OPP-E,2021-06-14,Surface,4.01,0.6719999999999999,0.00691,summer,
OPP-E,2021-06-14,Surface,3.33,1.28,0.00627,summer,
OPP-W,2021-06-14,Surface,8.2,0.483,0.00725,summer,
OPP-W,2021-06-14,Surface,14.5,0.599,0.00595,summer,
OPP-W,2021-06-14,Surface,20.7,0.7150000000000001,0.006500000000000001,summer,
ALC,2021-06-15,Surface,1.24,1.53,0.0086,summer,
ALC,2021-06-15,Surface,0,2.38,0.00804,summer,below CO2 detection
ALC,2021-06-15,Surface,0,2.1399999999999997,0.00797,summer,below CO2 detection
LM-ARB,2021-06-15,Surface,163,2.36,0.015300000000000001,summer,
LM-ARB,2021-06-15,Surface,123.00000000000001,1.54,0.0143,summer,
LM-ARB,2021-06-15,Surface,146,1.9800000000000002,0.015099999999999999,summer,
UM-ARB,2021-06-15,Surface,111,0.833,0.0148,summer,
UM-ARB,2021-06-15,Surface,120,1.18,0.0167,summer,
UM-ARB,2021-06-15,Surface,129,1.47,0.0161,summer,
CAP,2021-06-16,Surface,10.4,2.27,0.0054,summer,
CAP,2021-06-16,Surface,11.7,2.42,0.0052499999999999995,summer,
CAP,2021-06-16,Surface,13.7,3.08,0.0051199999999999996,summer,
DOBA4,2021-06-16,Surface,28.3,1.0699999999999998,0.00835,summer,
DOBA4,2021-06-16,Surface,30.1,1.31,0.00829,summer,
DOBA4,2021-06-16,Surface,38.2,2.1100000000000003,0.00679,summer,
DOBA5,2021-06-16,Surface,4.26,14.600000000000001,0.00874,summer,
DOBA5,2021-06-16,Surface,4.07,17.099999999999998,0.00842,summer,
DOBA5,2021-06-16,Surface,3.4699999999999998,14.399999999999999,0.00865,summer,
DOBA8,2021-06-17,Surface,44.199999999999996,1.49,0.0063300000000000006,summer,
DOBA8,2021-06-17,Surface,46.9,1.73,0.00611,summer,
DOBA8,2021-06-17,Surface,51.7,2.27,0.00551,summer,
ELV,2021-06-17,Surface,4.89,0.34900000000000003,0.00762,summer,
ELV,2021-06-17,Surface,1.46,0.417,0.007790000000000001,summer,
ELV,2021-06-17,Surface,3.6500000000000004,0.427,0.00745,summer,
MDT,2021-06-17,Surface,0.185,0.795,0.00735,summer,
MDT,2021-06-17,Surface,0,0.8999999999999999,0.00706,summer,below CO2 detection
MDT,2021-06-17,Surface,1.3599999999999999,0.7250000000000001,0.007769999999999999,summer,
HP-UW,2021-06-18,Surface,28.6,0.5880000000000001,0.0475,summer,
HP-UW,2021-06-18,Surface,28.6,0.77,0.052700000000000004,summer,
HP-UW,2021-06-18,Surface,28.3,0.7,0.0532,summer,
L60-UW,2021-06-18,Surface,46.400000000000006,0.627,0.0496,summer,
L60-UW,2021-06-18,Surface,52.9,0.714,0.045200000000000004,summer,
L60-UW,2021-06-18,Surface,58.699999999999996,1.08,0.060399999999999995,summer,
DCSW1,2021-06-21,Surface,3.3400000000000003,2.6,0.0244,summer,
DCSW1,2021-06-21,Surface,1.5,2.61,0.024,summer,
DCSW1,2021-06-21,Surface,1.33,2.96,0.0245,summer,
DCSW2,2021-06-21,Surface,103,8.48,0.09999999999999999,summer,
DCSW2,2021-06-21,Surface,120,13.299999999999999,0.0766,summer,
DCSW2,2021-06-21,Surface,98.2,8.280000000000001,0.09380000000000001,summer,
DCSW3,2021-06-21,Surface,63.6,20.2,0.010400000000000001,summer,
DCSW3,2021-06-21,Surface,63.7,18.8,0.0109,summer,
DCSW3,2021-06-21,Surface,63.89999999999999,17.5,0.0115,summer,
KP,2021-06-22,Surface,654,73.6,0.00202,summer,
KP,2021-06-22,Surface,483,48.300000000000004,0.00442,summer,
KP,2021-06-22,Surface,640,73,0.0020299999999999997,summer,
O-N,2021-06-22,Surface,67.7,0.324,0.0201,summer,
O-N,2021-06-22,Surface,69.7,0.357,0.0211,summer,
O-N,2021-06-22,Surface,69.1,0.726,0.0207,summer,
O-S,2021-06-22,Surface,49.1,0.458,0.009559999999999999,summer,
O-S,2021-06-22,Surface,53.4,0.446,0.009720000000000001,summer,
O-S,2021-06-22,Surface,61.60000000000001,0.48,0.0096,summer,
DOBA7,2021-07-12,Surface,1.6300000000000001,0.46699999999999997,0.00823,summer,
DOBA7,2021-07-12,Surface,2.5500000000000003,0.482,0.00863,summer,
DOBA7,2021-07-12,Surface,1.3900000000000001,0.43300000000000005,0.008459999999999999,summer,
OPP-E,2021-07-12,Surface,4.390000000000001,0.32599999999999996,0.00853,summer,
OPP-E,2021-07-12,Surface,4.87,0.27399999999999997,0.00852,summer,
OPP-E,2021-07-12,Surface,4.23,0.27799999999999997,0.00855,summer,
OPP-W,2021-07-12,Surface,239,2.09,0.006699999999999999,summer,
OPP-W,2021-07-12,Surface,234,0.964,0.0065899999999999995,summer,
OPP-W,2021-07-12,Surface,236,2.17,0.00741,summer,
L60-UW,2021-07-13,Surface,234,68.10000000000001,5.989999999999999e-5,summer,
L60-UW,2021-07-13,Surface,291,103,2.86e-4,summer,
L60-UW,2021-07-13,Surface,174,52.1,0.00113,summer,
LM-ARB,2021-07-13,Surface,102,0.84,0.008280000000000001,summer,
LM-ARB,2021-07-13,Surface,110,0.952,0.008620000000000001,summer,
LM-ARB,2021-07-13,Surface,124,1.51,0.008029999999999999,summer,
UM-ARB,2021-07-13,Surface,144,1.23,0.0173,summer,
UM-ARB,2021-07-13,Surface,125,0.82,0.016499999999999997,summer,
UM-ARB,2021-07-13,Surface,132,0.9730000000000001,0.017599999999999998,summer,
KP,2021-07-14,Surface,335,55.9,0.00762,summer,
KP,2021-07-14,Surface,411,67.89999999999999,0.00417,summer,
KP,2021-07-14,Surface,549,76.19999999999999,0.00504,summer,
O-N,2021-07-14,Surface,8.97,0.544,0.0193,summer,
O-N,2021-07-14,Surface,5.85,0.513,0.0211,summer,
O-N,2021-07-14,Surface,5.74,0.5670000000000001,0.0225,summer,
O-S,2021-07-14,Surface,8.19,1.0499999999999998,0.00754,summer,
O-S,2021-07-14,Surface,3.82,0.928,0.00978,summer,
O-S,2021-07-14,Surface,8.42,0.7829999999999999,0.00789,summer,
CAP,2021-07-16,Surface,158,1.59,0.0219,summer,
CAP,2021-07-16,Surface,152,1.6199999999999999,0.0213,summer,
CAP,2021-07-16,Surface,135,1.3599999999999999,0.0223,summer,
DOBA4,2021-07-16,Surface,0.675,0.308,0.0115,summer,
DOBA4,2021-07-16,Surface,3.2399999999999998,0.401,0.0129,summer,
DOBA4,2021-07-16,Surface,6.84,0.33999999999999997,0.009699999999999999,summer,
DOBA5,2021-07-16,Surface,1.59,12.799999999999999,0.0129,summer,
DOBA5,2021-07-16,Surface,10.4,15.5,0.0137,summer,
DOBA5,2021-07-16,Surface,19.3,18.2,0.0144,summer,
DCSW1,2021-07-19,Surface,92.10000000000001,2,0.0112,summer,
DCSW1,2021-07-19,Surface,92.2,1.77,0.0116,summer,
DCSW1,2021-07-19,Surface,92.2,1.89,0.011399999999999999,summer,
DCSW2,2021-07-19,Surface,13.6,3.74,0.0167,summer,
DCSW2,2021-07-19,Surface,10.9,3.87,0.0161,summer,
DCSW2,2021-07-19,Surface,6.44,2.3,0.0175,summer,
DCSW3,2021-07-19,Surface,33,2.0300000000000002,0.009430000000000001,summer,
DCSW3,2021-07-19,Surface,32.199999999999996,1.7,0.00946,summer,
DCSW3,2021-07-19,Surface,30,1.95,0.00971,summer,
DOBA8,2021-07-20,Surface,14.5,1.64,0.00799,summer,
DOBA8,2021-07-20,Surface,12.4,0.955,0.006500000000000001,summer,
DOBA8,2021-07-20,Surface,11.3,0.9680000000000001,0.00604,summer,
ELV,2021-07-20,Surface,0.48,2.61,0.0106,summer,
ELV,2021-07-20,Surface,0,1.89,0.0106,summer,below CO2 detection
ELV,2021-07-20,Surface,0,2.5900000000000003,0.0101,summer,below CO2 detection
MDT,2021-07-20,Surface,0.772,0.502,0.007769999999999999,summer,
MDT,2021-07-20,Surface,0.363,0.5579999999999999,0.007730000000000001,summer,
MDT,2021-07-20,Surface,0.0555,0.5589999999999999,0.00761,summer,
ALC,2021-07-21,Surface,104,15.6,0.00719,summer,
ALC,2021-07-21,Surface,60.2,6.75,0.00774,summer,
ALC,2021-07-21,Surface,82,11.2,0.00747,summer,
HP-UW,2021-07-21,Surface,45.1,1.87,0.047,summer,
HP-UW,2021-07-21,Surface,51.3,1.96,0.0472,summer,
HP-UW,2021-07-21,Surface,48.4,2.4499999999999997,0.0488,summer,
ALC,2021-08-02,Surface,73.7,4.68,0.008029999999999999,summer,
ALC,2021-08-02,Surface,87.80000000000001,5.069999999999999,0.005019999999999999,summer,
ALC,2021-08-02,Surface,83.6,3.22,0.00585,summer,
LM-ARB,2021-08-02,Surface,30.3,1.69,0.00607,summer,
LM-ARB,2021-08-02,Surface,24.2,0.769,0.00723,summer,
LM-ARB,2021-08-02,Surface,60.300000000000004,0.897,0.00624,summer,
UM-ARB,2021-08-02,Surface,48.2,0.619,0.015099999999999999,summer,
UM-ARB,2021-08-02,Surface,52.5,0.616,0.0128,summer,
UM-ARB,2021-08-02,Surface,76,1.96,0.0137,summer,
DOBA7,2021-08-03,Surface,0,0.6940000000000001,0.0096,summer,below CO2 detection
DOBA7,2021-08-03,Surface,0,0.611,0.00959,summer,below CO2 detection
DOBA7,2021-08-03,Surface,0,0.5279999999999999,0.00959,summer,below CO2 detection
ELV,2021-08-03,Surface,86.89999999999999,2.01,0.00636,summer,
ELV,2021-08-03,Surface,97.6,2.17,0.005710000000000001,summer,
ELV,2021-08-03,Surface,76.3,1.8399999999999999,0.00702,summer,
KP,2021-08-03,Surface,595,102,8.550000000000001e-4,summer,
KP,2021-08-03,Surface,580,96.19999999999999,0.0010299999999999999,summer,
KP,2021-08-03,Surface,566,90.5,0.00121,summer,
O-N,2021-08-03,Surface,0,1.5999999999999999,0.0112,summer,below CO2 detection
O-N,2021-08-03,Surface,0.263,1.44,0.011399999999999999,summer,
O-N,2021-08-03,Surface,0.731,1.21,0.011300000000000001,summer,
O-S,2021-08-03,Surface,0.984,2.2,0.0074399999999999996,summer,
O-S,2021-08-03,Surface,0.44999999999999996,2.34,0.0069500000000000004,summer,
O-S,2021-08-03,Surface,1.59,2.39,0.00694,summer,
OPP-E,2021-08-03,Surface,0,0.6880000000000001,0.00689,summer,below CO2 detection
OPP-E,2021-08-03,Surface,0,0.5740000000000001,0.00726,summer,below CO2 detection
OPP-E,2021-08-03,Surface,0,0.5740000000000001,0.00699,summer,below CO2 detection
OPP-W,2021-08-03,Surface,610,63.89999999999999,1.8999999999999998e-5,summer,
OPP-W,2021-08-03,Surface,618,60.4,4.6800000000000005e-4,summer,
OPP-W,2021-08-03,Surface,514,40.1,0.0015,summer,
CAP,2021-08-04,Surface,265,39.400000000000006,0.0010500000000000002,summer,
CAP,2021-08-04,Surface,250,33.599999999999994,0.0017,summer,
CAP,2021-08-04,Surface,303,42.9,0.00179,summer,
DCSW1,2021-08-04,Surface,30.9,3.55,0.00566,summer,
DCSW1,2021-08-04,Surface,23.6,2.7800000000000002,0.0072,summer,
DCSW1,2021-08-04,Surface,27.3,3.17,0.00643,summer,
DCSW2,2021-08-04,Surface,77.5,36.5,0.012299999999999998,summer,
DCSW2,2021-08-04,Surface,58.400000000000006,7.8,0.0127,summer,
DCSW2,2021-08-04,Surface,46.699999999999996,4.55,0.013000000000000001,summer,
DCSW3,2021-08-04,Surface,77.8,2.98,0.006500000000000001,summer,
DCSW3,2021-08-04,Surface,88,3.62,0.0061200000000000004,summer,
DCSW3,2021-08-04,Surface,76.8,2.7199999999999998,0.00673,summer,
DOBA4,2021-08-04,Surface,176,0.0782,0.00404,summer,
DOBA4,2021-08-04,Surface,114,0.13899999999999998,0.00522,summer,
DOBA4,2021-08-04,Surface,113,0.0173,0.0052899999999999996,summer,
DOBA5,2021-08-04,Surface,3.67,35.3,0.0101,summer,
DOBA5,2021-08-04,Surface,3.67,22.4,0.00971,summer,
DOBA5,2021-08-04,Surface,3.67,38.300000000000004,0.009840000000000002,summer,
HP-UW,2021-08-05,Surface,84.1,2.24,0.039,summer,
HP-UW,2021-08-05,Surface,92.5,2.1500000000000004,0.0451,summer,
HP-UW,2021-08-05,Surface,81,1.5799999999999998,0.0382,summer,
L60-UW,2021-08-05,Surface,623,242,0,summer,below N2O detection
L60-UW,2021-08-05,Surface,624,302,0,summer,below N2O detection
L60-UW,2021-08-05,Surface,495,213,0.00444,summer,
MDT,2021-08-05,Surface,0,0.808,0.00772,summer,below CO2 detection
MDT,2021-08-05,Surface,0,0.6859999999999999,0.00781,summer,below CO2 detection
MDT,2021-08-05,Surface,0,0.8180000000000001,0.007510000000000001,summer,below CO2 detection
DOBA8,2021-08-05,Surface,0,1.32,0.00627,summer,below CO2 detection
DOBA8,2021-08-05,Surface,0,1.1400000000000001,0.00632,summer,below CO2 detection
DOBA8,2021-08-05,Surface,0,1.51,0.00604,summer,below CO2 detection
HP-UW,2022-01-12,Surface,109,3.66,0.0896,winter,
HP-UW,2022-01-12,Surface,86.4,2.32,0.06770000000000001,winter,
HP-UW,2022-01-12,Surface,113,3.62,0.0928,winter,
LM-ARB,2022-01-12,Surface,524,5.28,0.034,winter,
LM-ARB,2022-01-12,Surface,434,2.71,0.035899999999999994,winter,
LM-ARB,2022-01-12,Surface,282,1.25,0.0332,winter,
UM-ARB,2022-01-12,Surface,884,87.39999999999999,0.13899999999999998,winter,
UM-ARB,2022-01-12,Surface,867,96.7,0.117,winter,
UM-ARB,2022-01-12,Surface,877,99.8,0.109,winter,
OPP-E,2022-01-12,Surface,159,0.378,0.0214,winter,
OPP-E,2022-01-12,Surface,148,0.256,0.020999999999999998,winter,
OPP-E,2022-01-12,Surface,140,0.266,0.020800000000000003,winter,
OPP-W,2022-01-12,Surface,431,0.896,0.124,winter,
OPP-W,2022-01-12,Surface,416,0.885,0.12100000000000001,winter,
OPP-W,2022-01-12,Surface,394,1.19,0.13199999999999998,winter,
L60-UW,2022-01-13,Surface,382,15.7,0.0106,winter,
L60-UW,2022-01-13,Surface,389,17,0.010499999999999999,winter,
L60-UW,2022-01-13,Surface,387,15.400000000000002,0.0106,winter,
ALC,2022-01-13,Surface,203,11.3,0.0192,winter,
ALC,2022-01-13,Surface,200,11.1,0.019399999999999997,winter,
ALC,2022-01-13,Surface,195,10.5,0.019000000000000003,winter,
DCSW1,2022-01-13,Surface,51,1.64,0.022099999999999998,winter,
DCSW1,2022-01-13,Surface,52.800000000000004,1.64,0.0224,winter,
DCSW1,2022-01-13,Surface,52.1,1.73,0.022099999999999998,winter,
DCSW2,2022-01-13,Surface,43,8.96,0.0355,winter,
DCSW2,2022-01-13,Surface,43.5,8.610000000000001,0.0356,winter,
DCSW2,2022-01-13,Surface,44.6,9.290000000000001,0.0335,winter,
DCSW3,2022-01-13,Surface,14.600000000000001,0.684,0.023,winter,
DCSW3,2022-01-13,Surface,10.9,0.841,0.0217,winter,
DCSW3,2022-01-13,Surface,17,0.671,0.022799999999999997,winter,
CAP,2022-01-13,Surface,229,3.48,0.0037199999999999998,winter,
CAP,2022-01-13,Surface,235,2.68,0.00378,winter,
CAP,2022-01-13,Surface,222,4.27,0.00367,winter,
DOBA5,2022-01-13,Surface,2.9699999999999998,4.21,0.0206,winter,
DOBA5,2022-01-13,Surface,0.28099999999999997,5.800000000000001,0.0207,winter,
DOBA5,2022-01-13,Surface,0,4.87,0.0214,winter,below CO2 detection
DOBA4,2022-01-13,Surface,18,3.42,0.013399999999999999,winter,
DOBA4,2022-01-13,Surface,24.8,3.03,0.0132,winter,
DOBA4,2022-01-13,Surface,22.2,3.3000000000000003,0.0132,winter,
KP,2022-01-14,Surface,1440,351,0,winter,below N2O detection
KP,2022-01-14,Surface,1420,345,0,winter,below N2O detection
KP,2022-01-14,Surface,1420,325,0,winter,below N2O detection
MDT,2022-01-14,Surface,5.06,0.817,0.018299999999999997,winter,
MDT,2022-01-14,Surface,6.59,0.34099999999999997,0.0184,winter,
MDT,2022-01-14,Surface,2.57,0.236,0.017900000000000003,winter,
ELV,2022-01-14,Surface,13.1,1.69,0.030199999999999998,winter,
ELV,2022-01-14,Surface,11.8,2.1100000000000003,0.030500000000000003,winter,
ELV,2022-01-14,Surface,12.5,1.9,0.029900000000000003,winter,
O-N,2022-01-14,Surface,88.9,0.179,0.188,winter,
O-N,2022-01-14,Surface,90.8,0.402,0.175,winter,
O-N,2022-01-14,Surface,93.9,0.475,0.17200000000000001,winter,
O-S,2022-01-14,Surface,69.1,1.42,0.041,winter,
O-S,2022-01-14,Surface,68.89999999999999,1.53,0.0402,winter,
O-S,2022-01-14,Surface,69.9,1.56,0.040100000000000004,winter,
DOBA7,2022-01-14,Surface,0,4.109999999999999,0.0436,winter,below CO2 detection
DOBA7,2022-01-14,Surface,0,4.199999999999999,0.0437,winter,below CO2 detection
DOBA7,2022-01-14,Surface,0.862,6.7,0.044199999999999996,winter,
DOBA8,2022-01-14,Surface,84.8,0.703,0.0297,winter,
DOBA8,2022-01-14,Surface,98.1,1.5799999999999998,0.0327,winter,
DOBA8,2022-01-14,Surface,94.1,1.4500000000000002,0.031599999999999996,winter,
HP-UW,2022-01-31,Surface,136,2.8200000000000003,0.075,winter,
HP-UW,2022-01-31,Surface,138,3.05,0.0763,winter,
HP-UW,2022-01-31,Surface,140,2.87,0.0756,winter,
L60-UW,2022-01-31,Surface,575,51.1,0,winter,below N2O detection
L60-UW,2022-01-31,Surface,586,51.3,0,winter,below N2O detection
L60-UW,2022-01-31,Surface,592,53.699999999999996,0,winter,below N2O detection
LM-ARB,2022-01-31,Surface,829,26.599999999999998,0.00931,winter,
LM-ARB,2022-01-31,Surface,838,25.700000000000003,0.009980000000000001,winter,
LM-ARB,2022-01-31,Surface,821,26.5,0.00981,winter,
UM-ARB,2022-01-31,Surface,1070,156,0.00384,winter,
UM-ARB,2022-01-31,Surface,1040,147,0.00593,winter,
UM-ARB,2022-01-31,Surface,1070,149,0.004860000000000001,winter,
OPP-E,2022-01-31,Surface,345,0.47700000000000004,0.0174,winter,
OPP-E,2022-01-31,Surface,343,0.26399999999999996,0.0185,winter,
OPP-E,2022-01-31,Surface,338,0.339,0.0188,winter,
OPP-W,2022-01-31,Surface,591,0.38,0.319,winter,
OPP-W,2022-01-31,Surface,578,0.514,0.312,winter,
OPP-W,2022-01-31,Surface,587,0.408,0.313,winter,
ALC,2022-01-27,Surface,444,6.88,0.00848,winter,
ALC,2022-01-27,Surface,454,7.17,0.00709,winter,
ALC,2022-01-27,Surface,442,7.18,0.00747,winter,
DCSW1,2022-01-27,Surface,197,0.38799999999999996,0.0202,winter,
DCSW1,2022-01-27,Surface,197,0.36,0.02,winter,
DCSW1,2022-01-27,Surface,193,0.36,0.0202,winter,
DCSW2,2022-01-27,Surface,162,15.400000000000002,0.0291,winter,
DCSW2,2022-01-27,Surface,158,15.400000000000002,0.0281,winter,
DCSW2,2022-01-27,Surface,166,13.4,0.0297,winter,
DCSW3,2022-01-27,Surface,52.5,1.75,0.0204,winter,
DCSW3,2022-01-27,Surface,48.900000000000006,1.5799999999999998,0.020800000000000003,winter,
DCSW3,2022-01-27,Surface,50.599999999999994,1.6500000000000001,0.0204,winter,
CAP,2022-01-27,Surface,394,39,0,winter,below N2O detection
CAP,2022-01-27,Surface,403,39.1,0,winter,below N2O detection
CAP,2022-01-27,Surface,383,38.099999999999994,0,winter,below N2O detection
DOBA5,2022-01-27,Surface,314,57.9,0,winter,below N2O detection
DOBA5,2022-01-27,Surface,311,56.5,0,winter,below N2O detection
DOBA5,2022-01-27,Surface,306,67.19999999999999,0,winter,below N2O detection
DOBA4,2022-01-27,Surface,234,4.1899999999999995,0.006670000000000001,winter,
DOBA4,2022-01-27,Surface,217,4.52,0.0075699999999999995,winter,
DOBA4,2022-01-27,Surface,250,2.96,0.0074199999999999995,winter,
KP,2022-01-30,Surface,2650,712,0,winter,below N2O detection
KP,2022-01-30,Surface,2640,754,0,winter,below N2O detection
KP,2022-01-30,Surface,2690,746,0,winter,below N2O detection
ELV,2022-01-30,Surface,64.6,6.06,0.026099999999999998,winter,
ELV,2022-01-30,Surface,64.30000000000001,4.8,0.026099999999999998,winter,
ELV,2022-01-30,Surface,58,6.14,0.026799999999999997,winter,
MDT,2022-01-30,Surface,115,0.36,0.0173,winter,
MDT,2022-01-30,Surface,118,0.42100000000000004,0.0172,winter,
MDT,2022-01-30,Surface,117,0.334,0.018,winter,
O-N,2022-01-30,Surface,49.7,0.534,0.216,winter,
O-N,2022-01-30,Surface,54.5,1.1400000000000001,0.221,winter,
O-N,2022-01-30,Surface,52.1,0.8390000000000001,0.211,winter,
O-S,2022-01-30,Surface,162,0.38799999999999996,0.0706,winter,
O-S,2022-01-30,Surface,171,0.5840000000000001,0.0751,winter,
O-S,2022-01-30,Surface,168,0.434,0.074,winter,
DOBA7,2022-01-31,Surface,74,66.60000000000001,0.06330000000000001,winter,
DOBA7,2022-01-31,Surface,73.7,64.30000000000001,0.0638,winter,
DOBA7,2022-01-31,Surface,62.5,69.3,0.0631,winter,
DOBA8,2022-01-30,Surface,327,2.7199999999999998,0.015099999999999999,winter,
DOBA8,2022-01-30,Surface,324,2.26,0.015600000000000001,winter,
DOBA8,2022-01-30,Surface,320,2.9699999999999998,0.0152,winter,
HP-UW,2022-02-09,Surface,118,3.46,0.07440000000000001,winter,
HP-UW,2022-02-09,Surface,123.00000000000001,2.76,0.07919999999999999,winter,
HP-UW,2022-02-09,Surface,119,4.140000000000001,0.07479999999999999,winter,
L60-UW,2022-02-09,Surface,591,77.60000000000001,0,winter,below N2O detection
L60-UW,2022-02-09,Surface,586,82.39999999999999,0,winter,below N2O detection
L60-UW,2022-02-09,Surface,581,76.9,0,winter,below N2O detection
ALC,2022-02-09,Surface,585,125,0,winter,below N2O detection
ALC,2022-02-09,Surface,580,122,0,winter,below N2O detection
ALC,2022-02-09,Surface,591,124,0,winter,below N2O detection
DOBA5,2022-02-09,Surface,237,11.1,0,winter,below N2O detection
DOBA5,2022-02-09,Surface,243,11.600000000000001,0,winter,below N2O detection
DOBA5,2022-02-09,Surface,201,11.3,0,winter,below N2O detection
DOBA4,2022-02-09,Surface,162,8.17,3.74e-4,winter,
DOBA4,2022-02-09,Surface,162,7.6899999999999995,7.61e-4,winter,
DOBA4,2022-02-09,Surface,162,7.57,0.0013399999999999998,winter,
DCSW1,2022-02-09,Surface,330,1.0899999999999999,0.0159,winter,
DCSW1,2022-02-09,Surface,331,1.1400000000000001,0.015799999999999998,winter,
DCSW1,2022-02-09,Surface,327,1.1099999999999999,0.015600000000000001,winter,
DCSW2,2022-02-09,Surface,352,25.9,0.0254,winter,
DCSW2,2022-02-09,Surface,349,27.3,0.0251,winter,
DCSW2,2022-02-09,Surface,333,25.9,0.0237,winter,
