pond,date,depth,dissolvedCO2,dissolvedCH4,dissolvedN2O
OPP-E,2021-07-12,Surface,4.87E-06,2.74E-07,8.52E-09
OPP-E,2021-07-12,Surface,4.23E-06,2.78E-07,8.55E-09
OPP-W,2021-07-12,Surface,0.000239,2.09E-06,6.70E-09
OPP-W,2021-07-12,Surface,0.000234,9.64E-07,6.59E-09
OPP-W,2021-07-12,Surface,0.000236,2.17E-06,7.41E-09
L60-UW,2021-07-13,Surface,0.000234,6.81E-05,5.99E-11
L60-UW,2021-07-13,Surface,0.000291,0.000103,2.86E-10
L60-UW,2021-07-13,Surface,0.000174,5.21E-05,1.13E-09
LM-ARB,2021-07-13,Surface,0.000102,8.40E-07,8.28E-09
LM-ARB,2021-07-13,Surface,0.00011,9.52E-07,8.62E-09
LM-ARB,2021-07-13,Surface,0.000124,1.51E-06,8.03E-09
UM-ARB,2021-07-13,Surface,0.000144,1.23E-06,1.73E-08
UM-ARB,2021-07-13,Surface,0.000125,8.20E-07,1.65E-08
UM-ARB,2021-07-13,Surface,0.000132,9.73E-07,1.76E-08
KP,2021-07-14,Surface,0.000335,5.59E-05,7.62E-09
KP,2021-07-14,Surface,0.000411,6.79E-05,4.17E-09
KP,2021-07-14,Surface,0.000549,7.62E-05,5.04E-09
O-N,2021-07-14,Surface,8.97E-06,5.44E-07,1.93E-08
O-N,2021-07-14,Surface,5.85E-06,5.13E-07,2.11E-08
O-N,2021-07-14,Surface,5.74E-06,5.67E-07,2.25E-08
O-S,2021-07-14,Surface,8.19E-06,1.05E-06,7.54E-09
O-S,2021-07-14,Surface,3.82E-06,9.28E-07,9.78E-09
O-S,2021-07-14,Surface,8.42E-06,7.83E-07,7.89E-09
CAP,2021-07-16,Surface,0.000158,1.59E-06,2.19E-08
CAP,2021-07-16,Surface,0.000152,1.62E-06,2.13E-08
CAP,2021-07-16,Surface,0.000135,1.36E-06,2.23E-08
DOBA4,2021-07-16,Surface,6.75E-07,3.08E-07,1.15E-08
DOBA4,2021-07-16,Surface,3.24E-06,4.01E-07,1.29E-08
DOBA4,2021-07-16,Surface,6.84E-06,3.40E-07,9.70E-09
DOBA5,2021-07-16,Surface,1.59E-06,1.28E-05,1.29E-08
DOBA5,2021-07-16,Surface,1.04E-05,1.55E-05,1.37E-08
DOBA5,2021-07-16,Surface,1.93E-05,1.82E-05,1.44E-08
DCSW1,2021-07-19,Surface,9.21E-05,2.00E-06,1.12E-08
DCSW1,2021-07-19,Surface,9.22E-05,1.77E-06,1.16E-08
DCSW1,2021-07-19,Surface,9.22E-05,1.89E-06,1.14E-08
DCSW2,2021-07-19,Surface,1.36E-05,3.74E-06,1.67E-08
DCSW2,2021-07-19,Surface,1.09E-05,3.87E-06,1.61E-08
DCSW2,2021-07-19,Surface,6.44E-06,2.30E-06,1.75E-08
DCSW3,2021-07-19,Surface,3.30E-05,2.03E-06,9.43E-09
DCSW3,2021-07-19,Surface,3.22E-05,1.70E-06,9.46E-09
DCSW3,2021-07-19,Surface,3.00E-05,1.95E-06,9.71E-09
DOBA8,2021-07-20,Surface,1.45E-05,1.64E-06,7.99E-09
DOBA8,2021-07-20,Surface,1.24E-05,9.55E-07,6.50E-09
DOBA8,2021-07-20,Surface,1.13E-05,9.68E-07,6.04E-09
ELV,2021-07-20,Surface,4.80E-07,2.61E-06,1.06E-08
ELV,2021-07-20,Surface,-4.96E-07,1.89E-06,1.06E-08
ELV,2021-07-20,Surface,-2.75E-07,2.59E-06,1.01E-08
MDT,2021-07-20,Surface,7.72E-07,5.02E-07,7.77E-09
MDT,2021-07-20,Surface,3.63E-07,5.58E-07,7.73E-09
MDT,2021-07-20,Surface,5.55E-08,5.59E-07,7.61E-09
ALC,2021-07-21,Surface,0.000104,1.56E-05,7.19E-09
ALC,2021-07-21,Surface,6.02E-05,6.75E-06,7.74E-09
ALC,2021-07-21,Surface,8.20E-05,1.12E-05,7.47E-09
HP,2021-07-21,Surface,4.51E-05,1.87E-06,4.70E-08
HP,2021-07-21,Surface,5.13E-05,1.96E-06,4.72E-08
HP,2021-07-21,Surface,4.84E-05,2.45E-06,4.88E-08
ALC,2021-08-02,Surface,7.37E-05,4.68E-06,8.03E-09
ALC,2021-08-02,Surface,8.78E-05,5.07E-06,5.02E-09
ALC,2021-08-02,Surface,8.36E-05,3.22E-06,5.85E-09
LM-ARB,2021-08-02,Surface,3.03E-05,1.69E-06,6.07E-09
LM-ARB,2021-08-02,Surface,2.42E-05,7.69E-07,7.23E-09
LM-ARB,2021-08-02,Surface,6.03E-05,8.97E-07,6.24E-09
UM-ARB,2021-08-02,Surface,4.82E-05,6.19E-07,1.51E-08
UM-ARB,2021-08-02,Surface,5.25E-05,6.16E-07,1.28E-08
UM-ARB,2021-08-02,Surface,7.60E-05,1.96E-06,1.37E-08
DOBA7,2021-08-03,Surface,-3.57E-06,6.94E-07,9.60E-09
DOBA7,2021-08-03,Surface,-2.93E-06,6.11E-07,9.59E-09
DOBA7,2021-08-03,Surface,-2.30E-06,5.28E-07,9.59E-09
ELV,2021-08-03,Surface,8.69E-05,2.01E-06,6.36E-09
ELV,2021-08-03,Surface,9.76E-05,2.17E-06,5.71E-09
ELV,2021-08-03,Surface,7.63E-05,1.84E-06,7.02E-09
KP,2021-08-03,Surface,0.000595,0.000102,8.55E-10
KP,2021-08-03,Surface,0.00058,9.62E-05,1.03E-09
KP,2021-08-03,Surface,0.000566,9.05E-05,1.21E-09
O-N,2021-08-03,Surface,-2.85E-07,1.60E-06,1.12E-08
O-N,2021-08-03,Surface,2.63E-07,1.44E-06,1.14E-08
O-N,2021-08-03,Surface,7.31E-07,1.21E-06,1.13E-08
O-S,2021-08-03,Surface,9.84E-07,2.20E-06,7.44E-09
O-S,2021-08-03,Surface,4.50E-07,2.34E-06,6.95E-09
O-S,2021-08-03,Surface,1.59E-06,2.39E-06,6.94E-09
OPP-E,2021-08-03,Surface,-1.35E-06,6.88E-07,6.89E-09
OPP-E,2021-08-03,Surface,-5.06E-07,5.74E-07,7.26E-09
OPP-E,2021-08-03,Surface,-2.45E-06,5.74E-07,6.99E-09
OPP-W,2021-08-03,Surface,0.00061,6.39E-05,1.90E-11
OPP-W,2021-08-03,Surface,0.000618,6.04E-05,4.68E-10
OPP-W,2021-08-03,Surface,0.000514,4.01E-05,1.50E-09
CAP,2021-08-04,Surface,0.000265,3.94E-05,1.05E-09
CAP,2021-08-04,Surface,0.00025,3.36E-05,1.70E-09
CAP,2021-08-04,Surface,0.000303,4.29E-05,1.79E-09
DCSW1,2021-08-04,Surface,3.09E-05,3.55E-06,5.66E-09
DCSW1,2021-08-04,Surface,2.36E-05,2.78E-06,7.20E-09
DCSW1,2021-08-04,Surface,2.73E-05,3.17E-06,6.43E-09
DCSW2,2021-08-04,Surface,7.75E-05,3.65E-05,1.23E-08
DCSW2,2021-08-04,Surface,5.84E-05,7.80E-06,1.27E-08
DCSW2,2021-08-04,Surface,4.67E-05,4.55E-06,1.30E-08
DCSW3,2021-08-04,Surface,7.78E-05,2.98E-06,6.50E-09
DCSW3,2021-08-04,Surface,8.80E-05,3.62E-06,6.12E-09
DCSW3,2021-08-04,Surface,7.68E-05,2.72E-06,6.73E-09
DOBA4,2021-08-04,Surface,0.000176,7.82E-08,4.04E-09
DOBA4,2021-08-04,Surface,0.000114,1.39E-07,5.22E-09
DOBA4,2021-08-04,Surface,0.000113,1.73E-08,5.29E-09
DOBA5,2021-08-04,Surface,3.67E-06,3.53E-05,1.01E-08
DOBA5,2021-08-04,Surface,3.67E-06,2.24E-05,9.71E-09
DOBA5,2021-08-04,Surface,3.67E-06,3.83E-05,9.84E-09
HP-UW,2021-08-05,Surface,8.41E-05,2.24E-06,3.90E-08
HP-UW,2021-08-05,Surface,9.25E-05,2.15E-06,4.51E-08
HP-UW,2021-08-05,Surface,8.10E-05,1.58E-06,3.82E-08
L60-UW,2021-08-05,Surface,0.000623,0.000242,-7.83E-10
L60-UW,2021-08-05,Surface,0.000624,0.000302,-1.64E-09
L60-UW,2021-08-05,Surface,0.000495,0.000213,4.44E-09
MDT,2021-08-05,Surface,-3.10E-06,8.08E-07,7.72E-09
MDT,2021-08-05,Surface,-1.69E-06,6.86E-07,7.81E-09
MDT,2021-08-05,Surface,-2.94E-06,8.18E-07,7.51E-09
DOBA8,2021-08-05,Surface,-1.35E-06,1.32E-06,6.27E-09
DOBA8,2021-08-05,Surface,-2.72E-07,1.14E-06,6.32E-09
DOBA8,2021-08-05,Surface,-8.52E-07,1.51E-06,6.04E-09
