"sample_id","vol","chla","chlb","chla_correct_ugl","phaeophytin","flag_turb","pre_max","post_max","file"
"DOBA5_210729",0.1,304.8,101.2,386.7,-50.9,"k",,,"22030r4.csv"
"O-N_210727",0.1,46.2,21.6,46.8,13.7,"",,,"22030r4.csv"
"O-S_210727",0.2,28.2,10.6,24.7,13.2,"",,,"22030r4.csv"
"ALC_210802",0.1,106.7,55.6,99.2,48.5,"k",,,"22030r5.csv"
"BLA",3,0,0,0,0,"",,,"22030r5.csv"
"LM-ARB_210730",0.1,163.4,64.7,129.6,99.4,"k",,,"22030r5.csv"
"LM-ARB_210802",0.1,76.1,26.1,102.9,-22.2,"k",,,"22030r5.csv"
"OPP-E_210730",0.1,215.2,154.9,172,163.7,"k",,,"22030r5.csv"
"OPP-E_210803",0.09,377.8,193.1,304.6,243.2,"k",,,"22030r5.csv"
"OPP-W_210730",0.068,359.5,116.2,313.5,163.3,"k",,,"22030r5.csv"
"OPP-W_210803",0.095,335.1,164.8,328,124.3,"k",,,"22030r5.csv"
"UM-ARB_210730",0.1,127.9,62,122.9,49.7,"k",,,"22030r5.csv"
"UM-ARB_210802",0.1,91.8,34.3,86.9,32.9,"k",,,"22030r5.csv"
"BLA",3,0,0,0,0,"",,,"22030r6.csv"
"DCSW2_210804",0.2,65.1,31.4,79.9,-1.8,"k",,,"22030r6.csv"
"DCSW3_210804",0.3,17.5,8.4,15.5,8.9,"k",,,"22030r6.csv"
"DOBA4_210804",0.1,70.1,46.6,64.6,37.9,"k",,,"22030r6.csv"
"DOBA5_210804",0.049,378.7,118.8,404.8,52.4,"k",,,"22030r6.csv"
"DOBA7_210803",0.1,110.6,52.4,104.7,44.6,"k",,,"22030r6.csv"
"ELV_210803",0.1,37.7,19.7,32.3,21.6,"k",,,"22030r6.csv"
"KP_210803",0.1,35.3,21.8,23.8,32.2,"k",,,"22030r6.csv"
"O-N_210803",0.1,51,31.2,56.8,10.8,"",,,"22030r6.csv"
"O-S_210803",0.2,53.3,26.3,53.1,17.9,"k",,,"22030r6.csv"
"BLA",3,0,0,0,0,"",,,"22030r7.csv"
"CAP_210804",0.1,6.6,2.7,-16.7,38.1,"k",,"v","22030r7.csv"
"DCSW1_210804",0.3,15.3,10.1,14.5,7.6,"k",,,"22030r7.csv"
"DOBA8_210805",0.2,44,26.8,45.1,15.4,"k",,,"22030r7.csv"
"HP_210805",0.4,6.2,3.6,4.3,5.3,"k",,,"22030r7.csv"
"L60_210805",0.1,52.2,-6,42.3,15.9,"k",,,"22030r7.csv"
"MDT_210805",0.24,37.3,17.9,36.7,13.2,"k",,,"22030r7.csv"
