"sample_id","vol","chla","chlb","chla_correct_ugl","phaeophytin","flag_turb","pre_max","post_max","file"
"DCSW3_220209",0.36,22.8,7.3,23,5.4,"k",,,"22030r5.csv"
"DOBA4_220209",0.073,1632.8,406.4,1815.9,61.8,"k",,,"22030r5.csv"
"DOBA5_220209",0.15,265.7,67.9,242.9,92.2,"k",,,"22030r5.csv"
"HP_220209",0.3,7,4.9,3.6,8.4,"k",,,"22030r5.csv"
"L60_220209",0.11,155.3,48,155.7,37.2,"k",,,"22030r5.csv"
"MDT_220210",0.2,160,40.5,155.8,40.5,"k",,,"22030r5.csv"
"BLA",3,0,0,0,0,"",,,"22030r6.csv"
"DOBA7_220211",0.15,18.8,13.4,10.6,21,"k",,,"22030r6.csv"
"DOBA8_220210",0.2,6.4,3.6,2.2,8.7,"k","v","v","22030r6.csv"
"ELV_220210",0.15,89.9,31.5,85.9,28.9,"k",,,"22030r6.csv"
"KP_220210",0.03,268.8,108.9,303.3,22.5,"k",,,"22030r6.csv"
"LM-ARB_220211",0.25,18.8,6,19.5,3.7,"k",,,"22030r6.csv"
"O-N_220210",0.25,11.1,6.1,11.4,3.4,"k",,,"22030r6.csv"
"O-S_220210",0.3,5.8,2.4,2.4,7.1,"k",,,"22030r6.csv"
"OPP-E_220211",0.125,451.2,134.4,607.1,-136.7,"k",,,"22030r6.csv"
"OPP-W_220211",0.06,466.8,154.5,535.5,10.5,"k",,,"22030r6.csv"
"UM-ARB_220211",0.25,15,4.4,11.9,8.3,"k",,,"22030r6.csv"
